Arabic	Latin	ID	Note	修正・調整
البدر بن الحلاوي	al-Badr b. al-Ḥallāwī	TMP-P-000700	出現: D03322(義父)。البدر محمد بن أبي بكر بن الحلاوي。息子=D10827(أبو بكر)・叔父=D09561(محمد بن يوسف)・関連D12268/D13307だが本伝はcorpus未特定=同定継続	B35新規発行
أبو بكر بن شعبان	Abū Bakr b. Shaʿbān	TMP-P-000701	出現: D03322(息子「أم ولده أبي بكر」)。関係専用。旧P-000064(أبو بكر=D0031の姻戚)流用を解消	B35新規発行
ابن السيد عفيف الدين	Ibn al-Sayyid ʿAfīf al-Dīn	TMP-P-000702	出現: D03336(شهاب الإسلام الكرمانيから受学)・D02666(السيد العلاء بن السيد عفيف الدينとして حسن الشرفから受学)。おそらく同一人=العلاء、الحسيني الإيجي家(D00173/D04811関連)。個体同定は要判断B35-38 §D-6	B35新規発行
الأمين بن النجار	al-Amīn b. al-Najjār	TMP-P-000703	出現: D03337(母方オジ)。إمام الغمري(L85455)・受学者(L48004)としても言及。本伝なし	B35新規発行
الدباغ	al-Dabbāgh	TMP-P-000704	出現: D03339(قال الدباغ سكن مكة=Pattern A言及者)。D10574(يوسف الدباغ المصري、没829)との異同=要判断B35-38 §D-2	B35新規発行
معزى	Muʿazzā	TMP-P-000705	出現: D03365(後任アミール「استقر بعده معزى」)。الشريف معزى صاحب ينبع。息子=D02964(دراج بن معزى)・L78129/L110489にも言及。本伝なし	B35新規発行
كريم الدين عبد الكريم بن أبي الوفا	Karīm al-Dīn ʿAbd al-Karīm b. Abī al-Wafā	TMP-P-000706	出現: D02555(تلا عليه للسبع、إمام الأقصى=Pattern A言及者兼弟子)。本伝なし	B36新規発行
أبو العباس الغمري	Abū al-ʿAbbās al-Ghamrī	TMP-P-000707	出現: D02578(ووقف عليه صحيح البخاري)。محمد الغمري(P-000279)の息子・ジャーミウ・ガムリー(I-00072)の後継シャイフ。L13558/L16389/L55253にも言及。「الآتي」とあるが本伝はcorpus未特定=同定継続	B36新規発行
محمد بن البدر حسن المرجوشي	Muḥammad b. al-Badr Ḥasan al-Marjūshī	TMP-P-000708	出現: D02603(息子「والد محمد الآتي」)。本伝「الآتي」のはずだがcorpus未特定=同定継続	B37新規発行
نور الدين علي الحصكفي	Nūr al-Dīn ʿAlī al-Ḥiṣkafī	TMP-P-000709	出現: D02604(父「ابن قاضي القضاة بالحصن نور الدين الحصكفي」)。ヒスン・カイファーの最高判事。本伝なし	B37新規発行
أحمد الصائغ	Aḥmad al-Ṣāʾigh	TMP-P-000710	出現: D02611(師「الأحمدين النخلي والصائغ」)。チュニスの学者。本伝なし(النخلي=D01837は既存確定)	B37新規発行
السلاوي	al-Sallāwī	TMP-P-000711	出現: D02611(師)。チュニスのシャイフ(L17506「من شيوخ تونس」にも同トリオで言及)。nisbah番号TMP-N-00384のperson位置流用を解消	B37新規発行
عبد الحميد الحكيم	ʿAbd al-Ḥamīd al-Ḥakīm	TMP-P-000712	出現: D02622(兄弟「أخو عبد الحميد الحكيم الآتي」、マディーナ)。عبد الحميد帯(D03523-28)に該当項なし=同定継続	B37新規発行
حسين بن محمد ابن كمال	Ḥusayn b. Muḥammad Ibn Kamāl	TMP-P-000713	出現: D02626(兄弟「أخو حسين الآتي」、بنو كمال المدنيون)。حسين帯に該当項未特定=同定継続	B37新規発行
جار الله بن حسن بن مختار	Jār Allāh b. Ḥasan b. Mukhtār	TMP-P-000714	出現: D02645(息子「والد جار الله الماضي」)。「الماضي」のはずだがcorpus未特定=同定継続	B38新規発行
أحمد القصار	Aḥmad al-Qaṣṣār	TMP-P-000715	出現: D02654(師、طب/هيئة/فقه/نحو)。アンダルス～マグリブ系か。本伝なし	B38新規発行
المحيوي بن جبريل	al-Muḥyawī b. Jibrīl	TMP-P-000716	出現: D02656(前任「ولي قضاء الشافعية ببيت المقدس بعد المحيوي بن جبريل」)。L6505「المحيوي بن جبريل بغزة」にも言及。本伝未特定=同定継続	B38新規発行
الجمال عبد الله بن الرومي	al-Jamāl ʿAbd Allāh b. al-Rūmī	TMP-P-000717	出現: D02659(師、جامع الظاهر前任)。D04673(عبد الله الرومي نزيل البيبرسية)・بنو الرومي(D08780)家との異同要確認=同定継続	B38新規発行
الشمس بن خليل	al-Shams b. Khalīl	TMP-P-000718	出現: D02659(娘婿「صاهره الشمس بن خليل على ابنته」)。L108467「الشمس بن خليل المقرئ شاهد وقف」と同一の可能性=同定継続	B38新規発行
البدري	al-Badrī	TMP-P-000719	出現: D02660(كتب عنه البدري في مجموعه=Pattern A言及者)。詩選集مجموع編者(D02143ほか corpus頻出)。おそらくالتقي أبو بكر بن عبد الله البدري الدمشقي(没894)=同定継続。言及者専用(P-000694/695と同型)	B38新規発行
