熊倉	Institution	الجامع المرجاني بالمزة	al-Jāmiʿ al-Marjānī (al-Mizza)	TMP-I-00136	出現: D05503(本項主が ناظر)・D05515(「البئر التي بباب الجامع المرجاني」)。المزة のモスク	B68新規発行
熊倉	Institution	تربة الأشرف قايتباي	Turbat al-Ashraf Qāytbāy	TMP-I-00137	出現: D05604(「خدمة شيخ الصوفية بتربة الأشرف قايتباي」)。カイロ北墓地のカーイトバーイ廟複合体(スーフィー付き)。既登録「المدرسة الأشرفية قايتباي」(市内のマドラサ)とは別実体	B68新規発行
熊倉	Institution	تربة ابن مزهر | تربة كاتب السر الزين أبي بكر بن مزهر	Turbat Ibn Muzhar	TMP-I-00138	出現: D05604(「قرره كاتب السر ابن مزهر في تربته وسكنها」)。カーティブ・アッ＝スィッル الزين أبو بكر بن مزهر(#AIND-D10854)の廟。既登録 مدرسة المزهرية(TMP-I-00045)との関係は要照合	B68新規発行
熊倉	Location	السبع قاعات	al-Sabʿ Qāʿāt	TMP-L-00239	出現: D04094(「يسكن بالسبع قاعات」)。カイロの街区(D03648「المدرسة … المجاورة لبيتهم بالسبع قاعات」・D08447 にも)	B68新規発行
熊倉	Location	المزة	al-Mizza	TMP-L-00240	出現: D05503(「ناظر الجامع المرجاني بالمزة」)。ダマスクス近郊の村(ニスバ المزي=TMP-N-00217 の由来地)。D05515 にも	B68新規発行
熊倉	Location	المرة	al-Marra	TMP-L-00241	出現: D05528(没地「مات … بالمرة وحمل إلى ضيعة سروعة بوادي مر」)。ヒジャーズ(メッカ周辺)の地名。要Waka照合(未同定)	B68新規発行
熊倉	Location	وادياش | وادي آش	Wādī Āsh (Guadix)	TMP-L-00242	出現: D05531(「ولي قضاء وادياش ثم خطابتها وتدريسها」)・D11081(出生地)。アンダルス(グラナダ王国)の町グアディクス。ニスバ الوادياشي=TMP-N-00522 の由来地。GeoNames 候補 2517446(Guadix、未照合)	B68新規発行
熊倉	Location	الفاسكور | فارسكور	Fāraskūr	TMP-L-00243	出現: D05586(「الفاسكوري الفران بها … لقيته بها」)。エジプト・ダミエッタ地方の町ファーラスクール(ニスバ الفاسكوري=TMP-N-02700・الفارسكوري の由来地)。GeoNames 候補 357520(Fāraskūr、未照合)	B68新規発行
熊倉	Location	باب القنطرة	Bāb al-Qanṭara	TMP-L-00244	出現: D05580(「زاوية أبي السعود بموقف المكارية داخل باب القنطرة」)。カイロ北西の門とその内側の地区。既登録 TMP-I-00003「بعض الحوانيت عند باب القنطرة」は同地区内の別実体	B68新規発行
熊倉	Location	المنزلة	al-Manzila	TMP-L-00245	出現: D05588(「منية راضي من المنزلة … مات ببلده」)。エジプト・ダカフリーヤの町(ニスバ المنزلي=TMP-N-00357 の由来地。D01578「من فلاحي المنزلة」)	B68新規発行
熊倉	Location	منية راضي	Minyat Rāḍī	TMP-L-00246	出現: D05588(居住地「مقيما بمنية راضي من المنزلة」)。المنزلة(TMP-L-00245)近郊の村	B68新規発行
熊倉	Nisbah	العقاد	al-ʿAqqād	TMP-N-05509	出現: D04076(persName nisbah)。職業由来のニスバ(紐・組糸職人)。息子 D03649 も同ニスバ	B68新規発行
熊倉	Nisbah	الشعشاع	al-Shaʿshāʿ	TMP-N-05510	出現: D05534(علي بن محمد بن فلاح الخارجي الشعشاع)	B68新規発行
熊倉	Office	كتابة الجيش	kitābat al-jaysh	TMP-O-00232	出現: D04060(「باشر في جهات ككتابة الجيش」)。軍務局(ديوان الجيش)の書記職。既登録 نظر الجيش(O-00045)・ناظر الجيش(O-00031)とは別職	B68新規発行
熊倉	Office	صناعة الحرير	ṣināʿat al-ḥarīr	TMP-O-00233	出現: D04076(「يتكسب في صناعة الحرير」)。絹製造業。⚠TMP-O-00019 は صناعة الفراء(毛皮業)で別物	B68新規発行
熊倉	Office	صاحب سروعة	ṣāḥib Sarūʿa	TMP-O-00234	出現: D05528(「الشريف … صاحب سروعة」)。وادي مر の集落 سروعة(TMP-L-00192)の領主位。صاحب واسط 等と同型の在地君主号(職か称号かは Waka 判断)	B68新規発行
熊倉	Office	الفتوى على المذاهب الأربعة	al-fatwā ʿalā al-madhāhib al-arbaʿa	TMP-O-00235	出現: D05529(「كان يفتي على المذاهب الأربعة」)。四法学派すべてに基づくファトワー発行。汎用 مفتي(TMP-O-00004)では特性が失われるため別番号	B68新規発行
熊倉	Office	الفران | الخباز	al-farrān	TMP-O-00236	出現: D05586(「الفران بها」=パン焼き職人)。手工業・生業のO登録(الخياطة=Q242468・صناعة الفراء=O-00019 の先例)	B68新規発行
熊倉	Office	قاضي الركب الشامي	qāḍī al-rakb al-Shāmī	TMP-O-00237	出現: D05600(「باشر قضاء الركب الشامي وقتا」)。シリア巡礼隊付きカーディー職。既登録 قاضي الركب العراقي(O-00215)と同型	B68新規発行
熊倉	Office	خدمة شيخ الصوفية	khidmat shaykh al-ṣūfiyya	TMP-O-00238	出現: D05604(「استقر في خدمة شيخ الصوفية بتربة الأشرف قايتباي ثم صرف بغيره」)。廟付きスーフィーの長に仕える職(扶持職)	B68新規発行
熊倉	Office	المنجم | التنجيم وحل الزيج وكتابة التقاويم	al-munajjim	TMP-O-00239	出現: D05611(「الميقاتي المنجم … انتهت إليه الرياسة في حل الزيج وكتابة التقاويم … وتكسب بذلك في حانوت」)。占星術師・暦作成者。既登録 ニスバ الميقاتي(TMP-N-00527)は別	B68新規発行
熊倉	Person	الشرف يعقوب بن الجيعان	al-Sharaf Yaʿqūb	TMP-P-000897	出現: D04080(父)。D04080のナサブ「عبد الغني بن يعقوب الفخر بن الشرف」およびD02780「حمزة بن عبد الغني بن يعقوب الشرف بن الفخر بن الشرف」から復元(=ラカブ الشرف)。ابن فخيرة家(كتاب المماليك)の祖。corpusに本伝なし	B68新規発行
熊倉	Person	نصر الله بن عبد الغني بن يعقوب ابن فخيرة	Naṣr Allāh b. ʿAbd al-Ghanī b. Yaʿqūb Ibn Fukhayra	TMP-P-000898	出現: D04080(息子「المذكورين في محالهم」)。ابن فخيرة家。兄弟 عبد الكريم=#AIND-D04268・يحيى=#AIND-D10268・حمزة=#AIND-D02780 は立項あり、نصر الله のみ corpus に本伝未特定(ن部の نصر الله بن عبد الغني は ابن المقسي=D10132で別人)	B68新規発行
熊倉	Person	محمد بن الشريف نور الدين الحسني الصحراوي	Muḥammad b. al-Sharīf Nūr al-Dīn al-Ḥasanī al-Ṣaḥrāwī	TMP-P-000899	出現: D05604(父「كان أبوه صالحا بل هم من بيت صلاح」)。ナサブ「علي بن محمد بن الشريف نور الدين」から復元。本項主の通称「ابن ولي الدين」の ولي الدين は父のラカブか遠祖由来か未確定のためラベルに含めない(候補として記す)。corpus に本伝なし	B68新規発行
熊倉	Person	يوسف بن يس المنزلي	Yūsuf b. Yāsīn al-Manzilī	TMP-P-000900	出現: D04083(父)。本項主のナサブ「عبد الغني بن يوسف بن يس زين الدين المنزلي」から復元。corpusに本伝なし	B68新規発行
熊倉	Person	يس المنزلي	Yāsīn al-Manzilī	TMP-P-000901	出現: D04083(祖父。「ويعرف بجده」=本項主は祖父の名で知られる)。ナサブから復元。⚠初版は TMP-P-000630(=D02193の兄弟 يس)を流用していた=別人	B68新規発行
熊倉	Person	العلم شاكر بن ماجد بن عبد الوهاب ابن الجيعان	al-ʿAlam Shākir b. Mājid Ibn al-Jīʿān	TMP-P-000902	出現: D04060(父)。本項主のナサブ「عبد الغني بن شاكر بن ماجد … الفخر بن العلم」から復元(ラカブ العلم)。ابن الجيعان家の祖。corpusに本伝なし	B68新規発行
熊倉	Person	عبد الله الباجي التونسي	ʿAbd Allāh al-Bājī al-Tūnisī	TMP-P-000903	出現: D04086(師「أخذ عن … عبد الله الباجي」)。チュニスのマーリキー派法学者。D09795(محمد الكومي التونسي أخذ عن أحمد الشماع وعبد الله الباجي)にも。⚠既登録 TMP-P-000293「الجمال الباجي」はカイロで聴聞されるハディース伝承家(D06499「سمع بمصر من … الجمال عبد الله الباجي」)で別人の可能性が高い→要判断	B68新規発行
熊倉	Person	أبو بكر بن علي بن محمد بن يعقوب الخواجا الطهطاوي المكي	Abū Bakr b. ʿAlī al-Khawājā al-Ṭahṭāwī al-Makkī	TMP-P-000904	出現: D05591(息子「والد أبي بكر وأخوته」)。メッカの商人一族。أبو بكر 部に該当見出しなし。⚠初版は汚染番号 TMP-P-000064(汎用 أبو بكر)を流用	B68新規発行
