AIND	現状	REF化日(commit)	commit	型	転送先	corpus帳簿	見出し	原文(先頭120字)
AIND-D01448	実項復帰	2026-07-01	4c38476	له ذكر في	（実項復帰 2026-09-08）	$	أحمد بن محمد بن عمر بن أبي بكر بن عبد الوهاب بن علي بن نزار الطفاوي	أحمد بن محمد بن عمر بن أبي بكر بن عبد الوهاب بن علي بن نزار الطفاوي . له ذكر في أخيه عبد الله .
AIND-D01522	REF	2026-07-01	4c38476	転送指示あり	#AIND-D01482	$$$	أحمد بن محمد بن محمد بن أبي غانم بن الحبال	أحمد بن محمد بن محمد بن أبي غانم بن الحبال . مضى فيمن جده محمد بن أحمد بن أبي غانم .
AIND-D02142	REF	2026-08-16	14297d6	転送指示あり（في أحمد بن مفتاح）	#AIND-D01649	$$$	بديد	بديد في أحمد بن مفتاح .
AIND-D02148	REF	2026-08-16	14297d6	転送指示あり	#AIND-D02150	$$$	بردبك البجمقدار	بردبك البجمقدار يأتي قريبا .
AIND-D02156	REF	2026-08-16	14297d6	転送指示あり	#AIND-D02151	$$$	بردبك قصقا	بردبك قصقا . مضى قريبا .
AIND-D02159	REF	2026-08-16	14297d6	転送指示あり	#AIND-D02157	$$$	بردبك هجين	بردبك هجين . مضى قريبا .
AIND-D02164	実項復帰	2026-08-16	14297d6	二重立項（名のみ、相手側 أظنه）	（実項復帰 2026-09-08）	$	برسباي بلاشه	برسباي بلاشه .
AIND-D02166	REF	2026-08-16	14297d6	転送指示あり	#AIND-D02172	$$$	برسباي الخازندار	برسباي الخازندار . يأتي قريبا في المحمودي .
AIND-D02182	実項復帰	2026-08-16	14297d6	二重立項（سيأتي は伝記本文中の相互参照）	（実項復帰 2026-09-08）	$	بركات بن حسين بن حسن الشيرازي الأصل المكي	بركات بن حسين بن حسن الشيرازي الاصل المكي ويعرف بابن الفتحي شقيق محمد وأحمد المذكورين وهو أصغر الثلاثة . ولد في سنة تسع 
AIND-D02244	実項復帰	2026-08-16	14297d6	二重立項（سيأتي は伝記本文中の相互参照）	（実項復帰 2026-09-08）	$	بير محمد بن علي بن عمر الخواجا جمال الدين الكيلاني المكي	بير محمد بن علي بن عمر الخواجا جمال الدين الكيلاني المكي . مات سنة ستين ، وسيأتي في المحمدين .
AIND-D02267	REF	2026-08-19	fd600c6	転送指示あり	#AIND-D02266	$$$	تغرى بردي الصغير	تغرى بردي الصغير ابن أخي دمرداش . هو الذي قبله .
AIND-D02322	実項復帰	2026-08-16	968e789	二重立項（أظنه الماضي قريبا）	（実項復帰 2026-09-08）	$	تنم	تنم وسمى تنبك نائب دمشق . مات سنة اثنتين وثمانمائة ، وأظنه الماضي قريبا .
AIND-D02543	REF	2026-08-11	9beeac2	転送指示あり（ويعرف بفارس يأتي）	#AIND-D06130	$$$	الحسن بن داود بن حسين الاطفيحي ثم الطنتدائي الغمري	الحسن بن داود بن حسين الاطفيحي ثم الطنتدائي الغمري قاضيها ويعرف بفارس ياتي
AIND-D02548	REF	2026-08-11	9beeac2	転送指示あり	#AIND-D02547	$$$	الحسن بن سودون الفقيه	الحسن بن سودون الفقيه . هو الذي قبله .
AIND-D02590	REF	2026-08-11	9beeac2	転送指示あり	#AIND-D02586	$$$	حسن بن علي بن محمد بن علي البدر أبو عبد الله بن الصواف	حسن بن علي بن محمد بن علي البدر أبو عبد الله بن الصواف . مضى فيمن جد أبيه علي بن محمد بن أحمد تقريبا .
AIND-D02595	REF	2026-08-11	9beeac2	転送指示あり	#AIND-D02575	$$$	حسن بن علي بن محمد حسام الدين الابيوردي	حسن بن علي بن محمد حسام الدين الابيوردي . مضى فيمن جده حسن .
AIND-D02710	REF	2026-08-11	4d86d8f	転送指示あり	#AIND-D02759	$$$	حسين بن علاء الدولة	حسين بن علاء الدولة ، سيأتي فيمن لم يسم أبوه .
