熊倉	Institution	تربة بني فهد (بالمعلاة)	Turbat Banī Fahd (al-Muʿallā)	TMP-I-00149	出現: D04295(埋葬地「دفن على والدته بتربة بني فهد من المعلاة」)。メッカ・ムアッラー墓地内のバヌー・ファフド家の墓所	
熊倉	Institution	الأميرية	al-Amīriyya	TMP-I-00150	出現: D04294(「شيخ الأميرية」)・索引D12601。施設名(ザーウィヤ／マドラサか。所在未詳)	
熊倉	Institution	الجامع المشرف على بركة الفهادة (بالقرب من حدرة الكماجيين)	al-Jāmiʿ ʿalā Birkat al-Fahhāda	TMP-I-00151	出現: D04371(創建者「وهو صاحب الجامع المشرف على بركة الفهادة」)。カイロのモスク	
熊倉	Institution	باسطية المدينة	al-Bāsiṭiyya (Medina)	TMP-I-00152	出現: D04375(「شيخ باسطية المدينة」)。マディーナのバースィティーヤ(عبد الباسط ناظر الجيش 建立)。カイロの الخانقاه الباسطية(TMP-I-00021)とは別	
熊倉	Location	كالكوط	Kālikūṭ (Calicut)	TMP-L-00257	出現: D04279(没地「ببلاد كالكوط من الهند」)。インド・マラバール海岸のカリカット(Kozhikode)。corpus D03609・D04904 にも。ID-Master では gn 1265873(Kozhikode、Waka実照合 2026-09-08)に名寄せ済(旧TMP-L-00257 は F列に記録)。repo D04279 は gn:1265873 に付替え済	
熊倉	Location	الحسبة (من بلاد اليمن)	al-Ḥisba (Yemen)	TMP-L-00258	出現: D04273(没地「مات … بالحسبة من بلاد اليمن」)。イエメンの地名	
熊倉	Location	نوى	Nawā	TMP-L-00259	出現: D04293(「فولي نوا」=カーディー職)。ハウラーン地方(シリア南部)の町。gn 実照合はWaka	
熊倉	Location	منية خلف	Minyat Khalaf	TMP-L-00260	出現: D04294(「مستأجر منية خلفا وقف الصرغتمشية」)。الصرغتمشية(TMP-I-00059)のワクフ村	
熊倉	Location	فوقة (من أعمال كنباية)	Fūqa (Kanbāya)	TMP-L-00261	出現: D04302(没地「بفوقة من أعمال كنباية من الهند」)。インド・カンバーヤ(TMP-L-00067)管区の地	
熊倉	Location	انبابة	Inbāba (Imbāba)	TMP-L-00262	出現: D04360(没地「عدي عليه بالقرب من انبابة」)。ギーザ対岸のインバーバ	
熊倉	Location	الوراق	al-Warrāq	TMP-L-00263	出現: D04360(埋葬地「دفن بالوراق」)。カイロ北郊の村	
熊倉	Office	أحد خدام الدرجة	aḥad khuddām al-daraja	TMP-O-00253	出現: D04248(「أحد خدام الدرجة بعد أن كان عطارا」)。メッカ・カアバの階段(الدرجة)の奉仕者。corpus D06664 にも出現	
熊倉	Office	دهان	dahhān	TMP-O-00254	出現: D04374(「الدهان … يتكسب بدهن السقوف ونحوها」)。塗装工(天井の油塗り)	
熊倉	Person	الشهاب أحمد بن عز الدين المناوي الخياط	al-Shihāb Aḥmad b. ʿIzz al-Dīn al-Manāwī al-Khayyāṭ	TMP-P-001032	出現: D04107(父「بن الشهابي المناوي الخياط والده」)。仕立屋。corpus本伝なし	
熊倉	Person	ناصر الدين محمد بن عمر بن عثمان ابن الجندي التاجر المصري	Nāṣir al-Dīn Muḥammad b. ʿUmar b. ʿUthmān Ibn al-Jundī al-Tājir	TMP-P-001033	出現: D04193(父)。ニスバ索引D12232「التاجر ناصر الدين محمد بن عمر بن عثمان وبنوه عبد القادر ومحمد واسمعيل … وله رابع اسمه عمر」。本伝なし	
熊倉	Person	الجلال القبابي (جد عبد القادر بن محمد بن محمد المرصفي)	al-Jalāl al-Qabābī	TMP-P-001034	出現: D04205(祖父「ويعرف جده بالقبابي كان في خدمة الجمالي الاستادار」)。本伝なし	
熊倉	Person	علم الدين الطبيب المرصفي	ʿAlam al-Dīn al-Ṭabīb al-Marṣafī	TMP-P-001035	出現: D04205(父の母方祖父「جد أبيه لأمه وهو علم الدين الطبيب كان في خدمة القطبية」)。医師。本伝なし	
熊倉	Person	أحمد بن محمد بن أحمد الحرازي المكي	Aḥmad b. Muḥammad b. Aḥmad al-Ḥarāzī al-Makkī	TMP-P-001036	出現: D04239(兄「أخو أحمد وعبد الله」)。父=AIND-D06881(الجمال الحرازي「والد أحمد وعبد الله」)。本伝なし	
熊倉	Person	عبد الله بن محمد بن أحمد الحرازي المكي	ʿAbd Allāh b. Muḥammad b. Aḥmad al-Ḥarāzī al-Makkī	TMP-P-001037	出現: D04239(兄)。父=AIND-D06881。本伝なし(D04556は別家系)	
熊倉	Person	الفخر عثمان بن أبي بكر النويري	al-Fakhr ʿUthmān b. Abī Bakr al-Nuwayrī	TMP-P-001038	出現: D04257(師「سمع من العز بن جماعة والفخر عثمان بن أبي بكر النويري بعض النسائي」)・D04394(師)。メッカの伝承者(8世紀、العز بن جماعة と並記の定型。corpus D03176 等にも)。本伝なし	
熊倉	Person	محمد بن عبد الله بن موسى بن عيسى الدميري المكي	Muḥammad b. ʿAbd Allāh b. Mūsā b. ʿĪsā al-Damīrī al-Makkī	TMP-P-001039	出現: D04283(祖父「والصواب أن جده محمد بن عبد الله بن موسى بن عيسى」)。本伝なし	独立検証パスで発行(旧001039=الخواجا شيخ علي الكرماني は AIND-D05451 に同定し取消→再割当)
熊倉	Person	إبراهيم بن عبد الكريم بن عمر بن محمد ابن الزمن الدمشقي	Ibrāhīm b. ʿAbd al-Karīm b. ʿUmar Ibn al-Zaman al-Dimashqī	TMP-P-001040	出現: D04276(息子「والد إبراهيم الماضي」)・D08360(「عم إبراهيم بن عبد الكريم الماضي」)。「الماضي」だが corpus の إبراهيم 部に見出し見当たらず→欠番WL	
熊倉	Person	عبد المعطي بن قاسم بن عبد المعطي الأنصاري	ʿAbd al-Muʿṭī b. Qāsim b. ʿAbd al-Muʿṭī al-Anṣārī	TMP-P-001041	出現: D04278(兄弟「أخو عبد المعطي」)。本伝なし	
熊倉	Person	محمد بن فرو شيخ الأميرية	Muḥammad b. Farw shaykh al-Amīriyya	TMP-P-001042	出現: D04294(父「مات في حياة أبيه」)。ニスバ索引D12601「ابن فرو شيخ الأميرية عبد الكريم بن محمد وأبوه … حج أبوه في سنة أربع وتسعين」。本伝なし	
熊倉	Person	هميان بن شاه رخ بن تيمور	Hamiyān (?) b. Shāh Rukh	TMP-P-001043	出現: D04345(叔父・殺害者「فعاجله عمه … وقتله」)。名は D07471(ألوغ بك)「وقتله عمه هميان بن شاه رخ」による。ティムール朝(シャー・ルフの子)。本伝なし。綴りは底本のまま	
熊倉	Person	الشمس أبو البركات بن عفيف الحكيم	al-Shams Abū al-Barakāt b. ʿAfīf al-Ḥakīm	TMP-P-001044	出現: D04328(叔父「ابن أخي الشمس أبي البركات بن عفيف الذي وسطه الأشرف برسباي قبيل موته」)。医師。バルスバーイ(AIND-D02168)により処刑。本伝なし	
熊倉	Person	عبد الوهاب بن عفيف بن وهيبة بن يوحنا الملكي	ʿAbd al-Wahhāb b. ʿAfīf b. Wuhayba b. Yūḥannā	TMP-P-001045	出現: D04328(父)。医師 الشمس أبو البركات بن عفيف(TMP-P-001044)の兄弟。本伝なし	独立検証パスで発行(旧001045=البدر محمد بن عبيد الله は AIND-D09849 محمود の誤写と判明し取消→再割当)
熊倉	Person	إبراهيم الزهراني	Ibrāhīm al-Zahrānī	TMP-P-001046	出現: D04334(師「سمع من إبراهيم الزهراني شيئا من مناقب سيدي أحمد」)。本伝なし(الزهراني 家 D10079 موسى بن عيسى・D09028 أحمد بن الشيخ موسى は別人)	
熊倉	Person	الأتابك إينال اليوسفي	al-Atābak Īnāl al-Yūsufī	TMP-P-001047	出現: D04369(解放主「معتقه」、ニスバ الاينالي の由来)。D01001・D08036(孫)・D05068(子 علي)・D02423「العلاء علي بن الاتابك اينال اليوسفي」・D01879(弟 ازدمر)。没794。本伝なし	
熊倉	Person	أبو العباس أحمد بن عبد الله بن يحيى التونسي المرجاني	Abū al-ʿAbbās Aḥmad b. ʿAbd Allāh b. Yaḥyā al-Tūnisī al-Marjānī	TMP-P-001048	出現: D04394(父)。D06469(孫 محمد بن إبراهيم بن أبي العباس أحمد)。本伝なし	
熊倉	Person	الخطيب القسطلاني (والد عبد الكريم القسطلاني الخطيب)	al-Khaṭīb al-Qasṭallānī	TMP-P-001049	出現: D04298(父「الخطيب ابن الخطيب من بيت كبير」)。名不詳・職名のみ。本伝なし	独立検証パスで発行(旧001049=السيد علي شيخ الباسطية は AIND-D04942 に同定し取消→再割当)
熊倉	Person	محمد بن أحمد بن محمد بن عبد الرحمن بن عبد الله الفرياني	Muḥammad b. Aḥmad b. Muḥammad b. ʿAbd al-Raḥmān al-Firyānī	TMP-P-001031	出現: D04393(従兄弟「قريب … الآتي」)。ニスバ索引D11898「وابن عمه محمد ابن أحمد بن محمد بن عبد الرحمن بن عبد الله」(本文の「حمد」は脱字)。「الآتي」だが corpus の محمد 部に見出し見当たらず→欠番WL	独立検証パスで名形・関係(cousin)を訂正、旧TMP-P-001051→001050→001031と再割当(001031は الأشرف شعبان=wd:Q286592 置換で取消)
熊倉	Text	الظهيريين (لابن فهد)	al-Ẓahīriyyīn (Ibn Fahd)	TMP-T-00166	出現: D04272(「قاله ابن فهد في الظهيريين」)。ابن فهد によるバヌー・ザヒーラ家の伝記集。corpus D04319 にも	
熊倉	Text	الوقاية	al-Wiqāya (Wiqāyat al-riwāya)	TMP-T-00167	出現: D04320(「شرح … الوقاية」=ابن الملك の注釈対象)。برهان الشريعة المحبوبي のハナフィー派法学書	
熊倉	Text	شرح المشارق للصغاني (مبارق الأزهار)	Mabāriq al-azhār fī sharḥ Mashāriq al-anwār	TMP-T-00168	出現: D04320(著作)。ابن الملك(ابن فرشتا) による الصغاني『مشارق الأنوار』(TMP-T-00136)の注釈	
熊倉	Text	شرح المجمع (لابن الملك)	Sharḥ Majmaʿ al-baḥrayn (Ibn Malak)	TMP-T-00169	出現: D04320(著作)。ابن الملك による ابن الساعاتي『مجمع البحرين』(TMP-T-00048)の注釈	
熊倉	Text	شرح المنار (لابن الملك)	Sharḥ Manār al-anwār (Ibn Malak)	TMP-T-00170	出現: D04320(著作)。ابن الملك による النسفي『منار الأنوار』(TMP-T-00163)の注釈	
熊倉	Text	شرح الوقاية (لابن الملك)	Sharḥ al-Wiqāya (Ibn Malak)	TMP-T-00171	出現: D04320(著作)。ابن الملك による『وقاية الرواية』(TMP-T-00167)の注釈	
