	Person	الشهاب أبو العباس أحمد بن عبد الرحمن المرداوي	al-Shihāb Abū al-ʿAbbās Aḥmad b. ʿAbd al-Raḥmān al-Mardāwī	TMP-P-NEW87a-01	出現: D04507（師「سمع من أبي العباس المرداوي مجالس المخلدي الثلاثة」）。8世紀ダマスクス（サーリヒーヤ）のハンバリー派伝承者。corpus では D01482「سمع من الشهاب أحمد بن عبد الرحمن المرداوي مجالس المخلدي الثلاثة」のほか L40296／L40908／L55724／L69820／L100804／L136170 に師として頻出、L54145「المرداوي خاتمة أصحاب عمر الكرماني … مجالس المخلدي」。al-Ḍawʾ 立項なし（801H以前没）・ID-Master 未登録（Nisbah المرداوي=TMP-N-00220 のみ）。初版 #NEEDID を解消。	
	Person	النور أبو الحسن علي بن أحمد بن عبد العزيز العقيلي النويري المكي	al-Nūr Abū al-Ḥasan ʿAlī b. Aḥmad b. ʿAbd al-ʿAzīz al-ʿUqaylī al-Nuwayrī al-Makkī	TMP-P-NEW87a-02	出現: D04500（父）。マッカのマーリク派マカーム・イマーム（8世紀）。corpus L84842「إمام المالكية النور أبو الحسن علي بن أحمد بن عبد العزيز العقيلي النويري」で実体特定。子＝#AIND-D00984（أحمد、780生）・#AIND-D03684（عبد الرحمن、773生「ولي امامة مقام المالكية بعد أبيه」）・TMP-P-000943（الولوي محمد）・本項 D04500（عبد الله）。corpus 本伝なし・ID-Master 未登録。初版は father relation 無し。	
	Person	محمد بن عبد الرحمن بن عبد الرحيم بن محمد بن عبد الله بن بكتمر (ابن الحاجب)	Muḥammad b. ʿAbd al-Raḥmān b. ʿAbd al-Raḥīm (Ibn al-Ḥājib)	TMP-P-NEW87a-03	出現: D04471（甥「مات معه في يومه ابن أخيه محمد بن عبد الرحمن بن عبد الرحيم」、853年ペストで本項主と同日没）。父＝#AIND-D03644（عبد الرحمن）、祖父＝#AIND-D03881（عبد الرحيم）。ابن الحاجب 家（バーブ・アン＝ナスルのマドラサ創建者 بكتمر الحاجب の子孫）。corpus 本伝なし・ID-Master 未登録。初版 #NEEDID を解消。	
	Person	عبد القادر بن عبد القادر الطرابلسي	ʿAbd al-Qādir b. ʿAbd al-Qādir al-Ṭarābulusī	TMP-P-NEW87a-04	出現: D04475（父）。見出しナサブ「عبد الله بن عبد القادر بن عبد القادر الطرابلسي ويعرف بابن الحبال」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。初版 relation 無し。	
	Person	عبد الملك بن إبراهيم الدميري	ʿAbd al-Malik b. Ibrāhīm al-Damīrī	TMP-P-NEW87a-05	出現: D04490（父）。見出しナサブ「عبد الله بن عبد الملك بن إبراهيم الجمال الدميري ثم القاهري المالكي الشروطي」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。	
	Person	عثمان بن علي الأبشاقي	ʿUthmān b. ʿAlī al-Abshāqī	TMP-P-NEW87a-06	出現: D04496（父）。見出しナサブ「عبد الله بن عثمان بن علي الأبشاقي … ويعرف بالصعيدي」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。	
	Person	علي بن أحمد المنوفي	ʿAlī b. Aḥmad al-Munūfī	TMP-P-NEW87a-07	出現: D04502（父）。見出しナサブ「عبد الله بن علي بن أحمد الجمال المنوفي الخطيب」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。	
	Person	علي بن محمد بن عبد الحميد الفندقي	ʿAlī b. Muḥammad b. ʿAbd al-Ḥamīd al-Funduqī	TMP-P-NEW87a-08	出現: D04507（父）。見出しナサブ「عبد الله بن علي بن محمد بن عبد الحميد الفندقي القباقبي الصالحي」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。	
	Location	شنين	Shanīn	TMP-L-NEW87a-01	出現: D04469（没地・居住地「مات بالطاعون … ببلده شنين」）。イエメンの町（ニスバ الشنيني=TMP-N-01802 の由来地。D00045 に「الشنيني بفتح المعجمة وكسر النونين بينهما تحتانية」の読み注記）。ID-Master 未登録。初版 #NEEDID を解消。	
	Institution	الجانبكية | المدرسة الجانبكية	al-Jānibakiyya	TMP-I-NEW87a-01	出現: D04482（「قرأ على الأمين الأقصرائي بالجانبكية」833H）。カイロのジャーニバキーヤ学院（ハナフィー派、D06475 に「سعد الدين محمد شيخ الجانبكية」）。ID-Master 未登録（Nisbah الجانبكي=TMP-N-02464 のみ）。初版は placeName ref="#TMP-I-00000"（零番号）＋ affiliation #NEEDID。	
	Text	مجالس المخلدي الثلاثة	Majālis al-Mukhalladī al-Thalātha	TMP-T-NEW87a-01	出現: D04507（師から聴聞・Ibn Ḥajar が本項主から第1巻を読む）。أبو محمد الحسن بن أحمد المخلدي النيسابوري（389H没）の三つの伝承集会録（ダマスクスのハンバリー派で الشهاب المرداوي を経て伝承）。corpus では D01482／L54145／L100805 にも出現。ID-Master 未登録（Nisbah المخلدي=TMP-N-01660 のみ）。初版 #NEEDID ×2 を解消。	
	Office	شيخ أبشية الملق	shaykh Abshiyyat al-Malaq	TMP-O-NEW87a-01	出現: D04485（「شيخ أبشية الملق من الغربية」＝ガルビーヤ県の村の村長）。repo 先例 شيخ بلقس(TMP-O-00257)・شيخ نابلس(TMP-O-00139) に倣い村名付き職として発行。村は TMP-L-00234（أبشيه الملق）。初版 #TMP-O-00000（零番号）を解消。	
