	Person	أحمد بن محمد بن عمر بن محمد بن عمر بن محمد بن أبي طالب جلال الدين أبو الفتوح الكازروني البلياني الشيرازي	Aḥmad b. Muḥammad b. ʿUmar b. Muḥammad b. ʿUmar b. Muḥammad b. Abī Ṭālib Jalāl al-Dīn Abū al-Futūḥ al-Kāzarūnī al-Balyānī al-Shīrāzī	TMP-P-NEW87b-01	出現: D07318（祖父「والمذكور جده في الثامنة」）。父 الجنيد=#AIND-D02448 の本伝「الجنيد بن أحمد بن محمد بن عمر … بن جلال الدين أبي الفتوح الكازروني … المذكور أبوه في المائة قبلها」からナサブ・ラカブ・クンヤを復元。8世紀の人物（『الدرر الكامنة』所載）で al-Ḍawʾ に本伝なし。ID-Master 未登録（الكازروني 系の既登録 TMP-P-000141/000438/000439/000697/000861/000873 はいずれも別人）。初版 #NEEDID を解消。	
	Person	حسن بن أحمد بن محمد بن سلامة بن عطوف بن يعلي السلمي المكي	Ḥasan b. Aḥmad b. Muḥammad b. Salāma b. ʿAṭūf b. Yaʿlī al-Sulamī al-Makkī	TMP-P-NEW87b-02	【取り下げ（検証パス claude-b87-verify-content 2026-09-18）: corpus に本伝 #AIND-D02520「الحسن بن أحمد بن محمد بن سلامة بن عطوف بن يعلى البدر السلمي المكي البزار」が存在し6代ナサブ完全一致。発行不要・番号は使用しない】出現: D07334（父）。見出しナサブ「محمد بن حسن بن أحمد بن محمد بن سلامة بن عطوف بن يعلي السلمي المكي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。初版は父 relation なし。	
	Person	حسن بن إلياس الرومي	Ḥasan b. Ilyās al-Rūmī	TMP-P-NEW87b-03	出現: D07337（父）。見出しナサブ「محمد بن حسن بن إلياس الجمال الرومي الحنفي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。初版は父 relation なし。	
	Person	حسن بن أبي بكر بن محمد العامري الحرضي اليماني	Ḥasan b. Abī Bakr b. Muḥammad al-ʿĀmirī al-Ḥaraḍī al-Yamānī	TMP-P-NEW87b-04	出現: D07338（父）。見出しナサブ「محمد بن حسن بن أبي بكر بن محمد جمال الدين العامري اليماني الحرضي الشافعي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。初版は父 relation なし。	
	Person	الشمس السمرقندي العطار (زوج أم محمد بن حسن الفارقي السلاوي)	al-Shams al-Samarqandī al-ʿAṭṭār	TMP-P-NEW87b-05	出現: D07339（継父「ربيب الشمس السمرقندي العطار ولوجاهته عند تمر」）。ダマスクスの薬種商、803年のティムール占領下で有力。corpus に本伝なし（السمرقندي の既存立項 D00970/D01996/D02605/D02674/D04823/D06417/D06422/D06438/D07052/D09499 はいずれも別人）・ID-Master 未登録。初版は #NEEDID、かつ「العطار」を本項主の職 state（TMP-O-00012）に流用していた誤りを是正。	
	Person	حسن بن أبي بكر بن منصور الفارقي	Ḥasan b. Abī Bakr b. Manṣūr al-Fāriqī	TMP-P-NEW87b-06	出現: D07339（父）。見出しナサブ「محمد بن حسن بن أبي بكر بن منصور الشمس الفارقي السلاوي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。初版は父 relation なし。	
	Person	حسن بن حاتم النشيلي	Ḥasan b. Ḥātim al-Nashīlī	TMP-P-NEW87b-07	出現: D07340（父）。見出しナサブ「محمد بن حسن بن حاتم الشمس النشيلي ثم القاهري الشافعي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。初版は父 relation なし。	
	Person	حسن بن حسن بن حسين بن عقبة المدني	Ḥasan b. Ḥasan b. Ḥusayn b. ʿUqba al-Madanī	TMP-P-NEW87b-08	出現: D07341（父）。見出しナサブ「محمد بن حسن بن حسن بن حسين بن عقبة المدني المالكي」から1段ずらして復元（統一規則3）。異伝「محمد بن حسن بن حسين بن علي بن عقبة」（同項末尾）では父は حسن بن حسين بن علي となる。corpus に本伝なし・ID-Master 未登録。初版は父 relation なし。	
	Text	جزء في الأذكار (لمحمد بن الجنيد الكازروني)	Juzʾ fī al-adhkār (li-Muḥammad b. al-Junayd al-Kāzarūnī)	TMP-T-NEW87b-01	出現: D07318（「وصنف لأجله جزءا في الأذكار」＝イブン・ハジャルのために著した一部）。著者は文脈上本項主（ISSUES §Db-3 参照）。既登録 كتاب الأذكار（TMP-T-00002＝ナワウィー）とは別書。初版 bibl ref=#NEEDID を解消。	
	Text	إصلاح مشيخة الجنيد الكازروني لابن الجزري	Iṣlāḥ mashyakhat al-Junayd al-Kāzarūnī li-Ibn al-Jazarī	TMP-T-NEW87b-02	出現: D07318（「وآخر في إصلاح مشيخة أبيه لابن الجزري」）。イブン・アル＝ジャザリー（wd:Q4120093）が編んだ الجنيد الكازروني（#AIND-D02448「خرج لهم عنهم الشمس الجزري مشيخة」）のマシュヤハに対する訂正の書。著者は文脈上本項主（ISSUES §Db-3）。ID-Master 未登録。	
	Text	المصابيح | مصابيح السنة	al-Maṣābīḥ | Maṣābīḥ al-Sunna	TMP-T-NEW87b-03	出現: D07321（「سمع مني … كثيرا من المصابيح」）。البغوي の『مصابيح السنة』。ID-Master 未登録（既登録 المشكاة=TMP-T-00119 はその増補『مشكاة المصابيح』で別書）。⚠ repo の既存1ファイルで「المصابيح」に TMP-T-00081（=المنهاج الفرعي لشعبان الآثاري）が流用されている（ISSUES §Db-11）。初版 bibl ref=#NEEDID を解消。	
	Office	المدير في الجيش | مدير الجيش	al-mudīr fī al-jaysh	TMP-O-NEW87b-01	出現: D07320（「محمد بن جوهر المدير في الجيش」、836年アレッポ没）。軍の管理官。既登録 مدير ديوان（TMP-O-00017）とは対象が異なるため別行。初版 state ref=#NEEDID を解消。	
	Location	بين القصرين	Bayn al-Qaṣrayn	TMP-L-NEW87b-01	出現: D07313（埋葬地「دفن بالبرقوقية بين القصرين」）。カイロ・ムイッズ通りの両宮殿間地区。corpus に12回出現（D13081「بمدرسة الظاهر برقوق بين القصرين」等）し再利用見込み。ID-Master 未登録（البرقوقية=TMP-I-00029 は同地区内の施設で別実体）。	
	Institution	سبيل المؤيد بالمسجد الحرام تجاه الحجر الأسود | السبيل الذي أنشأه المؤيد بالمسجد تجاه الحجر الأسود	Sabīl al-Muʾayyad bi-l-Masjid al-Ḥarām tujāha al-Ḥajar al-Aswad	TMP-I-NEW87b-01	出現: D07337（「وباسمه … السبيل الذي أنشأه المؤيد بالمسجد تجاه الحجر الأسود」）。スルターン・アル＝ムアイヤド・シャイフ（#AIND-D03345）がマッカ聖モスク内の黒石正面に設けた給水所。既登録の سبيل 系（TMP-I-00111 カイロ／TMP-I-00122 マッカ السويقة）とは別実体。state の職ID は既存 خادم السبيل=TMP-O-00184 を cert medium で充当（ISSUES §Db-6）。	
