	Person	أحمد بن إبراهيم العسيلي	Aḥmad b. Ibrāhīm al-ʿUsaylī	TMP-P-NEW87c-01	出現: D07347（母方の叔父かつ師「روى عن خاله المحدث أحمد بن إبراهيم العسيلي عن العفيف اليافعي إجازة」）。8世紀のイエメンのハディース学者。corpus に本伝なし。ニスバ العسيلي(TMP-N-01715)は別。原文末尾「ويحرر ... نسبة شيخه」によりニスバ表記は要校訂	
	Person	الشهاب أحمد بن الحبال (الطرابلسي)	al-Shihāb Aḥmad b. al-Ḥabbāl	TMP-P-NEW87c-02	出現: D07353（師「سمع بطرابلس على الشهاب أحمد بن الحبال」、cert medium＝自称）。8世紀後半のトリポリのハディース伝承者。既登録 يوسف بن الحبال(TMP-P-000675)・#AIND-D01482(الشهاب أحمد ... ابن الحبال الحلبي الأصل الصالحي السكندري、没825)とは別人と判断	
	Person	الجمال الأمشاطي (تلميذ العز بن جماعة)	al-Jamāl al-Amshāṭī	TMP-P-NEW87c-03	出現: D07353（師「لازم بعده تلميذه الجمال الأمشاطي」＝العز بن جماعة の弟子）。corpus 各所（L3500・L11880・L46058 等）で القاياتي・الونائي らと並ぶ9世紀前半のカイロの教師。corpus の الأمشاطي 立項（D11441: الشمس محمد／المظفر محمود ابنا أحمد）とはラカブが合わないため別実体として発行。要同定（ISSUES §Dc-4）	
	Person	حسن بن علي بن عبد الرحمن (أستادار قرقماس الشعباني)	Ḥasan b. ʿAlī b. ʿAbd al-Raḥmān	TMP-P-NEW87c-04	出現: D07359（父「ويعرف بابن الأستاذ لكون أبيه كان أستادار قرقماس الشعباني」）。قرقماس الشعباني=#AIND-D06340 の家政長官。corpus の حسن 部に本伝なし。⚠初版は TMP-P-000204(D0106の息子 حسن)を流用	
	Person	أبو الخير بن محمد بن عمر الدمنهوري الأصل المكي	Abū al-Khayr b. Muḥammad b. ʿUmar al-Damanhūrī	TMP-P-NEW87c-05	出現: D07371（父「الآتي أبوه」）。corpus の الكنى(أبو الخير)部に本伝が見当たらず、ニスバ索引 #AIND-D11651「الدمنهوري ... وأبو الخير بن محمد بن عمر وابنه」に名が挙がるのみ＝欠番WL	
	Person	عبد الله بن داود بن عثمان بن علي القرشي الهاشمي	ʿAbd Allāh b. Dāwūd b. ʿUthmān al-Hāshimī	TMP-P-NEW87c-06	出現: D07374（兄弟「كان له أخ اسمه عبد الله سمع في سنة أربع عشرة على الزين المراغي」）。父=#AIND-D02949(داود بن عثمان النظام الهاشمي العدني)。corpus の عبد الله 部に本伝なし。⚠初版は TMP-P-000490(al-Zuhrīの祖父)を流用	
	Person	سليمان بن الخواجا داود بن علي بن البهاء الكيلاني	Sulaymān b. Dāwūd b. ʿAlī al-Kīlānī	TMP-P-NEW87c-07	【取り下げ（検証パス claude-b87-verify-content 2026-09-18）: corpus に本伝 #AIND-D03146「سليمان بن الخواجا داود بن علي بن بهاء الكيلاني المكي … مات باسكندرية في طاعون سنة اثنتين وأربعين」が存在。発行不要・番号は使用しない】出現: D07375（兄弟「كأبيه وأخويه سليمان وعلي」、没842 اسكندرية）。父=#AIND-D02950「والد سليمان وعلي ومحمد」、兄弟 علي=#AIND-D05143。corpus の سليمان 部に本伝なし	
	Person	أبو العباس المقدسي (تلميذ الشمس محمد بن داود المكيسي)	Abū al-ʿAbbās al-Maqdisī	TMP-P-NEW87c-08	出現: D07377（弟子「أخذ عنه غير واحد منهم أبو العباس المقدسي」）。9世紀前半ダマスクス周辺。corpus 候補 #AIND-D01568(أحمد بن محمد بن موسى بن فياض الشهاب أبو العباس المقدسي الأصل الحلبي الحنبلي القاضي)は未確定（ISSUES §Dc-6）	
	Person	أحمد بن محمد بن داود البدراني (ابن داود)	Aḥmad b. Muḥammad b. Dāwūd al-Badrānī	TMP-P-NEW87c-09	出現: D07381（子「والد أحمد وعلي ... وقرأ علي أكبرهما وأجزت لهما ويعرف كل منهم بابن داود」）。898年巡礼期にサハーウィーからイジャーザ。corpus に本伝なし	
	Person	علي بن محمد بن داود البدراني (ابن داود)	ʿAlī b. Muḥammad b. Dāwūd al-Badrānī	TMP-P-NEW87c-10	出現: D07381（子）。898年巡礼期にサハーウィーからイジャーザ。corpus に本伝なし。⚠初版は TMP-P-000530(D04287の兄弟 علي)を流用	
	Nisbah	الدقاق	al-Daqqāq	TMP-N-NEW87c-01	出現: D07350（محمد بن حسن بن عبد الرحيم الصالي الدقاق）。職業ニスバ（製粉業）。ID-Master 未登録	
	Institution	الجردكية | المدرسة الجردكية (حلب)	al-Jardakiyya	TMP-I-NEW87c-01	出現: D07357（「مدرسا بالجردكية」）・D08746（子「استقر بعد أبيه في تدريس الجردكية」）。ハラブのマドラサ。ID-Master 未登録	
	Text	أخبار إبراهيم بن أدهم	Akhbār Ibrāhīm b. Adham	TMP-T-NEW87c-01	出現: D07350（イブン・ハジャルが本項主に読んだ書「فقرأت عليه أخبار إبراهيم بن أدهم」、本項主は幼時に الحجار から聴講）。ハディース小冊子（جزء）。ID-Master 未登録	
