	Person	عبد الرحمن بن يوسف أبو زيد الحسني المسكناسي السكندري	ʿAbd al-Raḥmān b. Yūsuf Abū Zayd al-Ḥasanī al-Maskanāsī al-Sakandarī	TMP-P-NEW88f-01	出現: D07621（父。「بن أبي زيد … ذكر أن أباه صافحه」＝預言者に遡る مصافحة 連鎖を本項主に伝えたとされる父）。見出しナサブ「محمد بن عبد الرحمن بن يوسف … بن أبي زيد الحسني المسكناسي السكندري」から1段ずらして復元。corpus に本伝なし・ID-Master 未登録。	
	Person	عبد الرحمن وجيه الدين الحسيني العلوي اليماني	ʿAbd al-Raḥmān Wajīh al-Dīn al-Ḥusaynī al-ʿAlawī al-Yamānī	TMP-P-NEW88f-02	出現: D07626（父。「جمال الدين بن وجيه الدين الحسيني العلوي اليماني」）。名＋ラカブ＋ニスバのみ。corpus に本伝なし・ID-Master 未登録。⚠汎用名。同名別人への流用禁止。	
	Person	عبد الرحيم بن محمد الموصلي الدمشقي	ʿAbd al-Raḥīm b. Muḥammad al-Mawṣilī al-Dimashqī	TMP-P-NEW88f-03	出現: D07643（父・詩句の伝承元。「روى عن أبيه قوله مضاهيا للزيدونية」）。見出しナサブから復元。ウマイヤ・モスクのムアッズィン محمد（D07643）の父。corpus に本伝なし・ID-Master 未登録。⚠汎用名。同名別人への流用禁止。	
	Person	الشريف كمال الدين بن المحيريق	al-Sharīf Kamāl al-Dīn b. al-Muḥayriq	TMP-P-NEW88f-04	出現: D07647（前任者。「أحد شهود الإدارة بالبيمارستان تلقاها عن الشريف كمال الدين بن المحيريق」）。カイロ・マンスーリー病院の شاهد الإدارة。corpus では D00252「الشريف الكمال المحيريق أخي زوجته」・D08964「أخي الكمال المحيريق」に言及があり、甥 بهاء الدين محمد بن علي=#AIND-D08010「ويعرف بابن أخي المحيريق」・الكمال عبد اللطيف بن علي（D11269 索引・D12710）は別人（甥世代）。本人の本伝未特定・ID-Master 未登録。	
	Person	يوسف بن أبي الفتح كاتب المماليك	Yūsuf b. Abī al-Fatḥ kātib al-mamālīk	TMP-P-NEW88f-05	出現: D07647（「باشر نيابة النظر فيه عن كاتب المماليك يوسف بن أبي الفتح」＝本項主が代理を務めた上位者）。マムルーク登録書記（كاتب المماليك=TMP-O-00028）。corpus に本伝なし・ID-Master 未登録。⚠D00350 の الفاقوسي 家「يوسف بن أبي الفتح」（祖先名）とは別人。	
	Person	الشمس عبد الرزاق بن عبد الله ابن أبي كم	al-Shams ʿAbd al-Razzāq b. ʿAbd Allāh Ibn Abī Kamm	TMP-P-NEW88f-06	出現: D07648（父。「العلم أبو الخير بن الشمس أخي الصاحب العلم يحيى بن أبي كم」）。宰相 العلم يحيى بن عبد الله أبوكم=#AIND-D10257 の兄弟、孫 يحيى=#AIND-D10302。見出しナサブから復元。corpus に本伝なし・ID-Master 未登録。	
	Text	ثلاثيات مسند أحمد	Thulāthiyyāt Musnad Aḥmad	TMP-T-NEW88f-01	出現: D07639（「أسمع على الشمس الشامي ثلاثيات مسند أحمد وغيرها」）。『ムスナド・アフマド』の三伝承者ハディース集。汎称 الثلاثيات(TMP-T-00018)・ثلاثيات البخاري(TMP-T-00183)・ثلاثيات الدارمي(TMP-T-00124) と同方式で分離。ID-Master 未登録。	
	Text	النقاية	al-Nuqāya	TMP-T-NEW88f-02	出現: D07623（「ويقال إنه حفظ النقاية」）。ハナフィー派法学の綱要（『النقاية مختصر الوقاية』）。corpus では D09828「حفظ القرآن والنقاية في الفقه」等にも出現。ID-Master 未登録。	
	Institution	تربة الأمشاطي (بالقرب من الروضة خارج باب النصر)	Turbat al-Amshāṭī	TMP-I-NEW88f-01	出現: D07623（埋葬地「دفن بتربتهم بالقرب من الروضة خارج باب النصر」＝アムシャーティー家の墓所）。corpus D05762「ودفن بتربة الأمشاطي」に同じ。カイロ北部墓地（باب النصر 外）。⚠既登録 حوش الظاهر ظاهر باب النصر(TMP-L-00149)・مصلى باب النصر(TMP-L-00163) とは別実体。ID-Master 未登録。	
	Institution	مقام الشافعي	Maqām al-Shāfiʿī	TMP-I-NEW88f-02	出現: D07642（埋葬地「دفن بالقرب من مقام الشافعي」）。カイロ・カラーファ(wd:Q2066414)のイマーム・シャーフィイー廟。既登録 職 إمام مقام الشافعي(TMP-O-00164、D02792) の対象施設。ID-Master 未登録。	
	Institution	التربة الظاهرية برقوق | تربة الظاهر برقوق	al-Turba al-Ẓāhiriyya Barqūq	TMP-I-NEW88f-03	出現: D07644（勤務先「الفراش بالتربة الظاهرية برقوق」）。カイロ北部墓地のバルクーク廟（ハーンカー）。地名としての廟域は TMP-L-00149(حوش الظاهر ظاهر باب النصر)。repo D02478 は同施設に未登録の wd:Q56284343 を用いており要照合（ISSUES §Df-5）。⚠البرقوقية(TMP-I-00029、بين القصرين のマドラサ) とは別実体。ID-Master 未登録。	
	Institution	ديوان المماليك	Dīwān al-Mamālīk	TMP-I-NEW88f-04	出現: D07647（「وباسمه مباشرة في ديوان المماليك」）。マムルーク登録庁。既登録 職 كاتب المماليك(TMP-O-00028) の所属機関。D04264「ممن باشر في ديوان المماليك」にも出現。ID-Master 未登録。	
	Institution	مقام الحنفية (بالمسجد الحرام)	Maqām al-Ḥanafiyya	TMP-I-NEW88f-05	出現: D07657（「نائب إمام مقام الحنفية بها」＝مكة）。マッカ聖モスク(wd:Q428858)内のハナフィー派マカーム。corpus では D00743「نائب مقام الحنفية」・「نصف تكبير مقام الحنفية」等にも出現。ID-Master 未登録。	
