	Person	عبد الله بن أحمد الحضرمي	ʿAbd Allāh b. Aḥmad al-Ḥaḍramī	TMP-P-NEW88h-01	出現: D07755（父）。見出しナサブ「محمد بن عبد الله بن أحمد الحضرمي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	عبد الله بن أحمد الخانكي البلبيسي الأصل (ابن التاجر)	ʿAbd Allāh b. Aḥmad al-Khānkī al-Bilbīsī	TMP-P-NEW88h-02	出現: D07756（父）。見出し「محمد بن عبد الله بن أحمد الخانكي البلبيسي الأصل ويعرف بابن التاجر」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。corpus の別の ابن التاجر 家（#AIND-D08183／D08184、بنو علي بن محمد、索引 D12206）とは父名が異なる。⚠汎用名。同名別人への流用禁止。	
	Person	جمال الدين عبد الله بن بكتمر الحاجب	Jamāl al-Dīn ʿAbd Allāh b. Baktamur al-Ḥājib	TMP-P-NEW88h-03	出現: D07758（父）。ابن الحاجب 家（バーブ・アン＝ナスルのマドラサ創建者 بكتمر الحاجب＝TMP-P-001108 の子）。corpus に本伝なし（#AIND-D12883「ألف ابنة عبد الرحيم بن الناصري محمد بن الجمال عبد الله بن بكتمر الحاجب」・#AIND-D10428「الجمالي عبد الله بن بكتمر الحاجب صاحب الأوقاف الكثيرة والمدرسة … خارج باب النصر」・索引 D12243 に言及）。ID-Master 未登録。なお本項主（ناصر الدين محمد بن جمال الدين عبد الله）は TMP-P-001107 として登録済み＝AIND-D07758 に名寄せ要（ISSUES §Dh-3）。	
	Person	عبد الله بن بلال (والد محمد وأحمد وإسحاق الفراشين بالمسجد الحرام)	ʿAbd Allāh b. Bilāl	TMP-P-NEW88h-04	出現: D07762（父）。#AIND-D00889（أحمد）・#AIND-D01899（إسحاق）の父でもある（両ファイルには父 relation 未設定＝統合時に同番号で補うこと）。マッカ聖モスクの فراش・وقاد 一族（祖 بلال＝TMP-P-000958、#AIND-D04583・D00911 の同族）。corpus に本伝なし・ID-Master 未登録。⚠汎用名。同名別人への流用禁止。	
	Person	عبد الله بن حسن بن المواز	ʿAbd Allāh b. Ḥasan b. al-Mawwāz	TMP-P-NEW88h-05	出現: D07768（父）。見出し「محمد بن عبد الله بن حسن بن المواز」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。corpus の حسن المواز（#AIND-D02518 الدمياطي、752生）とは世代が合わず別人とみられる。⚠汎用名。同名別人への流用禁止。	
	Person	العفيف عبد الله بن حسين بن عبد الرحمن الأهدل الحسني اليماني	al-ʿAfīf ʿAbd Allāh b. Ḥusayn b. ʿAbd al-Raḥmān al-Ahdal	TMP-P-NEW88h-06	出現: D07769（父、「الجمال أبو عبد الله بن العفيف … حفيد البدر الأهدل」）。البدر الأهدل（#AIND-D02702／索引 #AIND-D11169）の子。D11169「وله أولاد منهم … والعفيف عبد الله ومحمد وهما حيان في سنة ثلاث وتسعين … ولعبد الله الجمال محمد أحد الآخذين عني في الأحياء」により本項主の父と確定。893 年時点で存命。corpus に本伝なし・ID-Master 未登録。	
	Person	عبد الله بن حسين النويري	ʿAbd Allāh b. Ḥusayn al-Nuwayrī	TMP-P-NEW88h-07	出現: D07770（父）。見出し「محمد بن عبد الله بن حسين الشمس النويري ثم القاهري الشافعي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名。同名別人への流用禁止。	
	Person	عبد الله بن سعيد الكلبشاوي	ʿAbd Allāh b. Saʿīd al-Kalbashāwī	TMP-P-NEW88h-08	出現: D07775（父）。見出し「محمد بن عبد الله بن سعيد الشمس الكلبشاوي الخطيب」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。既登録 TMP-P-000871（التاج محمد الكلبشاوي قاضي كلبشا وخطيبها）とは名が異なる。⚠汎用名。同名別人への流用禁止。	
	Person	عبد الله بن محمد بن الحسين بن علي بن إسحق بن سلام الدمشقي (ابن سلام)	ʿAbd Allāh b. Muḥammad b. al-Ḥusayn b. ʿAlī b. Isḥāq b. Sallām al-Dimashqī (Ibn Sallām)	TMP-P-NEW88h-09	出現: D07776（父）。兄 #AIND-D05253（علي بن عبد الله بن محمد بن الحسين بن علي بن إسحق بن سلام … العلاء أبو الحسن الدمشقي الشافعي ويعرف بابن سلام بالتشديد、829没）の見出しから復元。corpus に本伝なし・ID-Master 未登録。D05253 収録時に同番号で父 relation を置くこと。	
	Person	عبد الله بن سليمان المحلي	ʿAbd Allāh b. Sulaymān al-Maḥallī	TMP-P-NEW88h-10	出現: D07777（父）。見出し「محمد بن عبد الله بن سليمان العز المحلي ثم القاهري الشافعي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名。同名別人への流用禁止。	
	Person	عبد الله بن شوعان الزبيدي	ʿAbd Allāh b. Shawʿān al-Zabīdī	TMP-P-NEW88h-11	出現: D07779（父）。見出し「محمد بن عبد الله بن شوعان الزبيدي الحنفي」から1段ずらして復元（統一規則3）。初版の汚染番号 TMP-P-000490（الزهري の祖父 عبد الله）を破棄。corpus に本伝なし・ID-Master 未登録。⚠汎用名。同名別人への流用禁止。※D07779 が #AIND-D08398／D08312（محمد بن عمر بن شوعان）と同一人物なら父は عمر（ISSUES §Dh-8）。	
	Person	عبد الله بن عبد الكريم (والد محمد تشن البناء المكي)	ʿAbd Allāh b. ʿAbd al-Karīm	TMP-P-NEW88h-12	出現: D07791（父）。見出し「محمد بن عبد الله بن عبد الكريم البناء الشهير بتشن」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（識別要素は「تشن の父」のみ）。同名別人への流用禁止。	
	Person	عبد الله بن عبد الله الدمشقي الحنبلي	ʿAbd Allāh b. ʿAbd Allāh al-Dimashqī al-Ḥanbalī	TMP-P-NEW88h-13	出現: D07792（父）。見出し「محمد بن عبد الله بن عبد الله الشمس أبو عبد الله ثم الدمشقي الحنبلي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名。同名別人への流用禁止。	
	Person	نفيسة ابنة إبراهيم بن أبي بكر بن عبد المعطي العصامي الزبيدية	Nafīsa bt. Ibrāhīm b. Abī Bakr b. ʿAbd al-Muʿṭī al-ʿIṣāmī al-Zabīdiyya	TMP-P-NEW88h-14	出現: D07759（母、「أمه زبيدية وهي نفيسة ابنة إبراهيم بن أبي بكر بن عبد المعطي العصامي」）。#AIND-D04429（عبد الله بن أبي بكر بن ظهيرة、ザビード在住）の妻。固有名＋3代ナサブ＋ニスバで識別可のため規則12により発行。corpus に本伝なし・ID-Master 未登録（ニスバ العصامي＝TMP-N-02153 のみ）。	
