熊倉	Person	عبد الله المغربي المدني (والد إبراهيم الحطاب)	ʿAbd Allāh al-Maghribī al-Madanī	TMP-P-000966	出現: D00165(父)	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	علي بن إبراهيم بن أحمد بن سعد المقدسي أبو مدين	ʿAlī b. Ibrāhīm al-Maqdisī Abū Madyan	TMP-P-000967	出現: D00175(父、كنية أبو مدين)	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	محمد بن زيادة الاتكاوي (جد إبراهيم بن عمر)	Muḥammad b. Ziyāda al-Itkāwī	TMP-P-000968	出現: D00208(祖父、REF項)。本伝 D00213 の祖父	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	قرمش القرمي تاجر المماليك	Qurmush al-Qirimī	TMP-P-000969	出現: D00225(父)。الأمراء القرمشية の由来	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	أحمد أبي يحيى (تلميذ إبراهيم بن كامل الوادياشي)	Aḥmad Abī Yaḥyā	TMP-P-000970	出現: D00226(弟子・情報提供者「أخبرني بترجمته」)	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	العز الطيب محمد بن إبراهيم بن محمد بن عيسى الحكمي (ابن مطير)	al-ʿIzz al-Ṭayyib Muḥammad b. Ibrāhīm al-Ḥakamī	TMP-P-000971	出現: D00239(父「الآتي أبوه」だが corpus に本伝未検出)。ابن مطير 家(D12742)	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	أم إبراهيم بن محمد بن منجك (حبشية)	Umm Ibrāhīm b. Muḥammad b. Manjak (Ḥabashiyya)	TMP-P-000972	出現: D00241(母「أمه حبشية」)	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	صديق (جد إبراهيم بن محمد بن أبي بكر، ابن صديق)	Ṣiddīq	TMP-P-000973	出現: D00259(祖父、REF項「يأتي فيمن جده صديق」)	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	عويد السراج (والد أبي غالب إبراهيم)	ʿUwayd al-Sarrāj	TMP-P-000974	出現: D00380(父)	監査20260907 第2ラウンド 新規発行（空relation解消）
熊倉	Person	ابنة العز عبد العزيز الزمزمي (زوجة إبراهيم الاصفاني المهتار)	bint al-ʿIzz ʿAbd al-ʿAzīz al-Zamzamī	TMP-P-000975	出現: D00386(妻)	監査20260907 第2ラウンド 新規発行（空relation解消）
