Arabic	Latin	ID	Note	修正・調整
عيان	ʿAyyān	TMP-P-000686	出現: D00448(اشتغل في النحو وغيره عند عيان)。マッカの文法師。綴り・同定不確か(عياش/غيرهの誤植の可能性=要判断B32-34 §D-1)。旧P-000248(الزين بن عياش)流用を解消	B32新規発行
خير الدين سليمان بن عبد الله	Khayr al-Dīn Sulaymān b. ʿAbd Allāh	TMP-P-000687	出現: D00450(قرأ على إمامها)。シャイフーニーヤのアクマル・アッディーン新設カーアのイマーム。旧P-000654(أبو بكر=D00449息子)流用を解消	B32新規発行
الختني	al-Khatanī	TMP-P-000688	出現: D00417(أجاز له في سنة727)。8世紀のمجيز。nisbah番号TMP-N-01019のperson位置流用を解消	B33新規発行
الدبوسي	al-Dabbūsī	TMP-P-000689	出現: D00417(أجاز له في سنة727)。8世紀のمجيز。nisbah番号TMP-N-01099のperson位置流用を解消	B33新規発行
ابن الشهيد	Ibn al-Shahīd	TMP-P-000690	出現: D00418(سمع بالقاهرة من ابن الشهيد نظم السيرة له)。نظم السيرة(T-00078)の作者。旧P-000407(祖父)流用を解消	B33新規発行
القاضي تاج الدين	al-Qāḍī Tāj al-Dīn	TMP-P-000691	出現: D00420(ابن أخت القاضي تاج الدين/تفقه بخاله التاج)。ابن الزهريの母方オジ・ダマスカスのカーディー。汚染番号P-000166を解消	B33新規発行
سارة ابنة التقي السبكي	Sāra ibnat al-Taqī al-Subkī	TMP-P-000692	出現: D00441(سمع عليها بقراءة شيخنا سنة804)。ムスニダ。D00441のXMLが誤ってQ471116(朗読者ابن حجر)を師にしていたのを是正	B33新規発行
البدر العمري	al-Badr al-ʿUmarī	TMP-P-000693	出現: D03367(لقيه في سنة816 فأخذ عنه)。同定未詳	B34新規発行
العفيف الناشري	al-ʿAfīf al-Nāshirī	TMP-P-000694	出現: D03383(قال العفيف الناشري=Pattern A言及者)。イエメンの伝記作者。corpus他所にも頻出(D00602系ناشري家)。P-000603(الفاسي)と同型の言及者専用	B34新規発行
ابن دقماق	Ibn Duqmāq	TMP-P-000695	出現: D03390(أرخه ابن دقماق=Pattern A)。歴史家イブン・ドゥクマーク(没809)。言及者専用	B34新規発行
الطاوسي	al-Ṭāwūsī	TMP-P-000696	出現: D03407(لقيه فاستفاد منه/أرخ وفاته)。おそらくأبو الفتوح الطاوسي(要同定)。nisbah番号TMP-N-00496のperson位置流用を解消	B34新規発行
محمد بن أحمد الكازروني	Muḥammad b. Aḥmad al-Kāzarūnī	TMP-P-000697	出現: D03407(أخوه محمد الآتي)。本伝(الآتي)との同定継続。P-000529(ابن جماعة家محمد)流用を解消	B34新規発行
أبو بكر بن محمد بن أبي بكر الناشري	Abū Bakr b. Muḥammad b. Abī Bakr al-Nāshirī	TMP-P-000698	出現: D03408(الآتي أبوه)。父。本伝ありのはずだが受領corpus内で未特定=同定継続	B34新規発行
الشهاب حفيد البيجوري	al-Shihāb ḥafīd al-Bījūrī	TMP-P-000699	出現: D03416(صاحبنا、قرأ عليه غالب القطب وأخبر السخاوي بوفاته)。サハーウィーの仲間	B34新規発行
أمير الحج	Amīr al-Ḥajj	TMP-O-00134	出現: D01882(تأمر على الحج في سنة تسعين)。ハッジ隊指揮官。幻番号O-00038流用を解消	B32新規発行
أمير منزل	Amīr Manzil	TMP-O-00135	出現: D01886。O-00108(طبيب)の別実体流用を解消(B31のO-00126/127/130と同型)	B32新規発行
أمير أربعين	Amīr Arbaʿīn	TMP-O-00136	出現: D01887(أحد أمراء الأربعين)。四十人隊アミール(أمير عشرة=O-00101と同系列)。エイリアス候補: أحد أمراء الأربعين	B32新規発行
صاحب شماخي	Ṣāḥib Shamākhī	TMP-O-00137	出現: D00401(صاحب شماخي وتلك النواحي/استمر حاكمها)。シルワーン君主位。O-00129(صاحب مملكة كرمان)と同型。幻番号O-00038流用を解消	B33新規発行
بزار	bazzār	TMP-O-00138	出現: D03387(كان بزارا بجدة)。種子商	B34新規発行
شيخ نابلس	Shaykh Nābulus	TMP-O-00139	出現: D03395。ナーブルスのシャイフ(在地長)	B34新規発行
شيخ أولاد أبي الليل	Shaykh Awlād Abī al-Layl	TMP-O-00140	出現: D03398。アウラード・アビー・アッ＝ライル族長。بقر(D02205)のشيخ عرب職と同系	B34新規発行
مجلد	mujallid	TMP-O-00141	出現: D03411(المجلد بمكة)。製本職	B34新規発行
القصير	al-Quṣayr	TMP-L-00168	出現: D00447(ولي قضاء القصير وغيره من عمل دمشق)。ダマスカス管区の町。gn:173859(=Al Hafa'ir/Raqqa)誤指しを解消	B32新規発行
مقابر باب توما	Maqābir Bāb Tūmā	TMP-L-00169	出現: D00690(دفن بمقابر باب توما)。ダマスカスのバーブ・トゥーマー墓地。幻番号L-00014を解消	B32新規発行
برشوم	Barshūm	TMP-L-00170	出現: D01886(مات تجاه برشوم)。エジプトの村。L-00152(باب ابن خطيب الناصرية)流用を解消	B32新規発行
عمان	ʿUmān	TMP-L-00171	出現: D00414(ملك البحرين وعمان)。歴史地域オマーン(現代国家item不使用=أذربيجان方式)。L-00013(البحرين)流用を解消	B33新規発行
هرموز	Hurmūz	TMP-L-00172	出現: D00414(مملكة هرموز)。ホルムズ王国。L-00140(المهجم)流用を解消	B33新規発行
صفة الجنة لأبي نعيم	Ṣifat al-Janna li-Abī Nuʿaym	TMP-T-00116	出現: D00440。アブー・ヌアイム著。幻番号T-00031を解消	B33新規発行
القطب	al-Quṭb	TMP-T-00117	出現: D03416(قرأ عليه غالب القطب、論理学)。おそらくقطب الدين الرازيのشرح الشمسية(要確認)	B34新規発行
طرسوس	Ṭarsūs	gn:299817	Tarsus(Mersin,トルコ)。WebSearch実照合済(gn:298033=Viranşehirは誤り、gn:170564=Tall Duruは誤指しで破棄)。出現: D01884	B32確定
أذنة	Adhana (Adana)	gn:325363	Adana(トルコ)。WebSearch実照合済。出現: D01893(وقعة أذنة)	B32確定
علاء الدولة بن سليمان ذو القدر	ʿAlāʾ al-Dawla Bozkurt (Dulkadir)	wd:Q4895760	Alaüddevle Bozkurt Bey(ドゥルカディル侯、在位1479-1515)。WebSearch実照合済。出現: D01884(قتله علاء الدولة)。B19 D01862でも言及(未ref)	B32確定
