	Institution	زاوية سيدي يحيى البلخي	Zāwiyat Sīdī Yaḥyā al-Balkhī	TMP-I-00159	出現: D03380(「بجوار زاوية سيدي يحيى البلخي خارج باب الشعرية」「تنزل في...」)。カイロ・バーブ・アッ=シャアリーヤ門外のザーウィヤ。子供の教育(تأديب الأطفال)の場でもあった。ID-Master・repo内に未登録のため新規発行。	
	Institution	سجن اسكندرية	Sijn Iskandariyya	TMP-I-00160	出現: D02286(مات مخنوقا بسجن اسكندرية)。アレクサンドリア監獄。repo未登録	
	Institution	زاوية عمر	Zāwiyat ʿUmar	TMP-I-00161	出現: D04415。ハリール(ヘブロン)のウマルのザーウィヤ。repo未登録	
	Location	سمهود	Samhūd	TMP-L-00270	D03653のstate(نائب القاضي)placeName。上エジプト・キナー県の町、السمهودي家の本拠地。ID-Master・repo内に未登録のため新規発行(二次校閲で追加)。	
	Location	بيت لهيا	Bayt Lahyā	TMP-L-00271	出現: D05282(没地)。ダマスカス近郊の村。既存canonical登録なし。	
	Location	قبرس	Qubrus / Cyprus	TMP-L-00272	出現: D02271(2箇所: event visit・event political)。キプロス島。repo未登録。統合時に実gn照合を推奨	
	Location	رابغ	Rābigh	TMP-L-00273	出現: D03097(死亡地、カイロへの途上で遭難)。紅海沿岸の地。repo未登録。統合時に実gn照合を推奨	
	Nisbah	الخراط	al-Kharrāṭ	TMP-N-05512	"D03405の職業的ニスバ(皮なめし/轆轤師)。初版はref=""#NEEDID""のままだったが、他ニスバと同様にTMP-N発行が標準のため新規発行。ID-Masterに既存登録なし。"	
	Nisbah	المطيب	al-Muṭayyab	TMP-N-05513	出現: D05285。既存canonical登録なし。	
	Office	مقدم الوالي	muqaddam al-wālī	TMP-O-00259	出現: D03247(「سويدان مقدم الوالي」)。الوالي(治安長官、既存#TMP-O-00069)配下の指揮官職。既存の汎用#TMP-O-00083(المقدم)や#TMP-O-00069(والي)とは別の複合職名のため新規発行。	
	Office	تدريس القراءات	tadrīs al-qirāʾāt	TMP-O-00260	出現: D05249(بالشيخونية)。クルアーン朗誦学の教授職。既存canonical登録なし。	
	Office	قضاء الحنفية	qaḍāʾ al-Ḥanafiyya	TMP-O-00261	出現: D05285(زبيد、771-802H、任命者الأشرف)。ハナフィー派カーディー職(イエメン・ザビード)。既存canonical登録なし(نائب الحكم/TMP-O-00096とは別=正判事職)。	
	Office	القائم بأمور الحسبة	al-qāʾim bi-umūr al-ḥisba	TMP-O-00262	出現: D05289。ヒスバ職を実務代行する立場。既存نائب الحسبة(TMP-O-00207)とは別概念(正式な副官ではなく実務代行)。	
	Office	أمير عشرين	Amīr ʿIshrīn	TMP-O-00263	出現: D02282。20人隊アミール。既存أمير عشرة(O-00101)/أمير خمسة(O-00112)/أمير أربعين(O-00136)とは別ランクで未登録	
	Office	الرسلية	al-rusuliyya	TMP-O-00264	出現: D04416(كان يتصرف بالرسلية في الصالحية)。マドラサ付き使者職。repo未登録	
	Office	شيخ زاوية عمر	shaykh zāwiyat ʿUmar	TMP-O-00265	出現: D04415。ハリール(ヘブロン)のウマルのザーウィヤのシャイフ職。既存の「施設限定شيخ職は個別番号」慣行(شيخ الناصرية=O-00228等)に準拠	
	Office	مجوّد	mujawwid	TMP-O-00266	出現: D04415(زاوية عمرのمجود)。クルアーン朗誦・タジュウィード専任職。既存مقرئ(wd:Q3595924)と概念重複の可能性ありWaka確認要(ISSUES参照)	
	Office	خراز	Kharrāz	TMP-O-00267	出現: D03096(نزل مكة وكان خرازا)。革職人/靴職人。既存の職名Office慣行(العطار=O-00012等)に準拠	
