	Person	ناصر الدين ابن العطار	Nāṣir al-Dīn Ibn al-ʿAṭṭār	TMP-P-001100	出現: D03212(母方の孫の関係、孫=D03212本人)。裁定§D-3によりラカブ+ニスバ的要素(ابن العطار)から新規発行。	
	Person	الجد أبي الأم (サハーウィー自身の母方祖父)		TMP-P-001101	出現: D03380(隣人関係)。原文に固有名なし、裁定§D-4により既存precedent(TMP-P-000940等)に倣い新規発行(名不明・サハーウィー本人の母方祖父)。	
	Person	الشهاب الحسباني	al-Shihāb al-Ḥasbānī	TMP-P-001102	出現: D03652(teacher)。裁定§D-12によりラカブ+ニスバから新規発行(候補未確定)。	
	Person	جرباش	Jarbāsh	TMP-P-001103	出現: D02272(successor)。裁定§D-17により新規発行(同名候補D02406/07/08等と確証できず)。	
	Person	عبد الرحمن بن اليافعي	ʿAbd al-Raḥmān b. al-Yāfiʿī	TMP-P-001104	出現: D03085(patron)。裁定§D-18により新規発行。	
	Person	عمر العرابي	ʿUmar al-ʿUrābī	TMP-P-001105	出現: D03085(patron)。裁定§D-18により新規発行(候補#AIND-D05968とは62年の隔たりあり別人の可能性)。	
	Person	عبد الرحيم (بن ناصر الدين محمد بن جمال الدين عبد الله بن بكتمر الحاجب)	ʿAbd al-Raḥīm	TMP-P-001106	出現: D03644の父。裁定§D-10(合同索引項目はrelation不可)により新規発行。	
	Person	ناصر الدين محمد (بن جمال الدين عبد الله بن بكتمر الحاجب)	Nāṣir al-Dīn Muḥammad	TMP-P-001107	出現: D03644の祖父。裁定§D-10により新規発行。	
	Person	بكتمر الحاجب	Baqtumur al-Ḥājib	TMP-P-001108	出現: D03644の遠祖(バーブ・アン=ナスルのマドラサ創建者、一族祖)。裁定§D-10により新規発行。本人自身の独立項は未確認(「الآتي والده」は彼自身の父の項を指す)。	
	Office	الخازندارية الكبرى	al-Khāzindāriyya al-Kubrā	TMP-O-00268	出現: D03434(state、大蔵相職)。裁定§D-8により新規発行。	
	Text	المائة المستقاة من مشيخة الفخر	al-Miʾat al-mustaqāt min Mashyakhat al-Fakhr	TMP-T-00175	出現: D03652(bibl、2箇所)。既存T-00004「مشيخة الفخر」からの抜粋本で別テキストのため新規発行。	
	Person	ضغيم (D03404言及、#AIND-D03401との祖父名不一致あり)	Ḍaghīm	TMP-P-001109	出現: D03404のbrother(原文「أظنه أخا ضغيم」)。裁定§D-9により#AIND-D03401への直接linkを避け新規発行、possible_identity(cert=low)で接続。	
