# 対象: 67件（61ファイル）
xml_file	affiliation_n	institution_ref	institution_name_ar
AIND-D00008_591279423508.xml	1	#TMP-I-00002	المنكوتمرية
AIND-D00438_453790139343.xml	1	wd:Q12192963	المسجد الأقصى
AIND-D00438_453790139343.xml	2	wd:Q7404512	الصلاحية
AIND-D00443_656798647255.xml	1	#TMP-I-00057	تربة الأشرف اينال
AIND-D00529_925666116731.xml	1	#TMP-I-00054	المعظمية
AIND-D00566_913385194704.xml	1	#TMP-I-00027	الشيخونية
AIND-D00700_573290055123.xml	1	#TMP-I-00049	زاوية ابن الأطعاني
AIND-D00743_881818863157.xml	1	#TMP-I-00049	رباط ربيع
AIND-D00758_192195593820.xml	2	#TMP-I-00049	الإينالية
AIND-D00824_956360034001.xml	1	#TMP-I-00060	الشرفي يونس الأشرفي
AIND-D00895_710628345711.xml	1	#TMP-I-00058	الشرابشية
AIND-D01145_890740148644.xml	1	#TMP-I-00055	جامع الزيتونة
AIND-D01160_351956634047.xml	1		تربة السلطان
AIND-D01398_388312861594.xml	2	wd:Q23975647	الظاهرية القديمة
AIND-D01412_280527637438.xml	1	#TMP-I-00135	المدرسة الأشرفية بالخانقاه
AIND-D01592_821555105117.xml	1	wd:Q183562	الجامع الاموي
AIND-D01624_544856870306.xml	1	wd:Q183562	الجامع الأموي
AIND-D01646_445401533898.xml	1	#TMP-I-00121	قيسارية دار الإمارة
AIND-D01750_532487868112.xml	1	wd:Q183562	الجامع الأموي
AIND-D01777_411691912998.xml	1	#TMP-I-00068	الجوق
AIND-D01788_294767300406.xml	1	#TMP-I-00050	ديوان السلطان
AIND-D02007_171781919145.xml	1		القصر
AIND-D02094_645369172588.xml	1	wd:Q486080	المسجد النبوي
AIND-D02606_506554488482.xml	1	#TMP-I-00022	خانقاه سرياقوس
AIND-D02659_395153774346.xml	1	#TMP-I-00083	مدرسة العيني
AIND-D02659_395153774346.xml	2	#TMP-I-00084	جامع الظاهر
AIND-D02659_395153774346.xml	3	#TMP-I-00029	البرقوقية
AIND-D02706_484790245259.xml	1	#TMP-I-00034	البيمارستان المنصوري
AIND-D03004_310164593191.xml	2	#TMP-I-00068	الجوق
AIND-D03004_310164593191.xml	1	#TMP-I-00101	الخشابية
AIND-D03014_337384668290.xml	1	#TMP-I-00102	المدرسة الجمالية
AIND-D03028_139603221075.xml	2	#TMP-I-00111	السبيل الذي أنشأه الأشرف قايتباي بزيادة جامع ابن طولون
AIND-D03277_258817924212.xml	1	wd:Q6400398	البيبرسية
AIND-D03287_647684430986.xml	1	wd:Q6400398	البيبرسية
AIND-D03322_111715294434.xml	1	#TMP-I-00081	دار الضرب
AIND-D03437_846498635235.xml	1	wd:Q428858	المسجد الحرام
AIND-D03490_393136316002.xml	1	#TMP-I-00088	قبة العباس
AIND-D03528_338358705843.xml	1	#TMP-I-00089	الجامع الجديد
AIND-D03555_816006045402.xml	1	#TMP-I-00090	جامع المغاربة
AIND-D03719_741813002331.xml	1	#TMP-I-00130	الجامع الجاولي
AIND-D03719_741813002331.xml	2	wd:Q6400398	البيبرسية
AIND-D03758_848537067685.xml	1	wd:Q312342	الأزهر
AIND-D03811_503375208708.xml	1	#TMP-I-00116	الجامع المصري
AIND-D03833_507720507711.xml	1	#TMP-I-00068	الجوق
AIND-D03844_941721919849.xml	1	#TMP-I-00117	رباط بعلجد
AIND-D03845_109995630954.xml	1	#TMP-I-00131	البيمارستان بمكة
AIND-D03870_424870420897.xml	1	#TMP-I-00103	المقام الأحمدي
AIND-D03890_253671514598.xml	1	#TMP-I-00034	البيمارستان
AIND-D03929_832468689454.xml	1	wd:Q428858	المسجد الحرام
AIND-D04021_459251131127.xml	1	#TMP-I-00133	جامع القرويين
AIND-D04025_653086696190.xml	1	#TMP-I-00123	جامع الخطيري
AIND-D04149_101225341968.xml	1	#TMP-I-00068	الجوق
AIND-D04160_677128447016.xml	1	wd:Q428858	المسجد الحرام
AIND-D04160_677128447016.xml	2	#TMP-I-00143	المدرسة السلطانية
AIND-D04184_231045103916.xml	2	#TMP-I-00145	مجلس التوتة
AIND-D04224_562053522600.xml	1	#TMP-I-00146	وقف الحلي والظاهر
AIND-D04294_698087384383.xml	1	#TMP-I-00150	الأميرية
AIND-D04299_620576646474.xml	1	#TMP-I-00120	الحرم النبوي
AIND-D04415_805730002480.xml	1	#TMP-I-00161	زاوية عمر
AIND-D04416_493929637426.xml	1	wd:Q7404512	الصالحية
AIND-D04417_726684149298.xml	1	wd:Q683511	جامع عمرو
AIND-D05127_138080693380.xml	1	#TMP-I-00153	المعينية
AIND-D05134_101317618836.xml	1	#TMP-I-00154	تربة الأعجام
AIND-D05182_562485538060.xml	1	#TMP-I-00156	جامع الغمري بالمحلة
AIND-D05190_792014630172.xml	1	#TMP-I-00036	تربة الأشرف برسباي
AIND-D05618_251314319525.xml	1	#TMP-I-00109	جامع حسن بن الطويل الشهيد
AIND-D05635_630210965698.xml	1	#TMP-I-00108	جامع أصلم
