file	subtype	desc	verdict	id_or_new	arabic_canonical	latin	note_for_idmaster	evidence	confidence	group
AIND-D01651	nisbah	الصباغ	NISBAH	TMP-N-05506(新規提案)	الصباغ	al-Ṣabbāgh	ニスバ。出現: D01651（أحمد بن مفرح الصباغ）。ID-Master に الصباغ のニスバ登録なし。corpus 他所に D05372「نور الدين الأسفاقسي … ويعرف بابن الصباغ」等あり、再利用見込みあり。	corpus D01651 見出し「$ 634 أحمد بن مفرح الصباغ . ممن سمع مني بمكة .」／ID-Master 検索 Nisbah=الصباغ ヒット0	H	
AIND-D03679	father	عثمان بن الرضي عبد الرحمن بن عثمان بن الرضي عبد الرحمن بن علي	NEW	TMP-P-000856(新規提案)	عثمان بن الرضي عبد الرحمن بن عثمان بن الرضي عبد الرحمن بن علي السفط رشيدي	ʿUthmān b. al-Raḍī ʿAbd al-Raḥmān b. ʿUthmān b. al-Raḍī ʿAbd al-Raḥmān b. ʿAlī al-Safṭ Rashīdī	出現項: D03679（父）。サフト・ラシード（سفط رشيد）出身、カイロに移った家系で、代々 الرضي の称号を持つ。子は 841年サフト・ラシード生まれのシャーフィイー派スーフィー（カラーファ・スグラーのハーンカー・カウスーン）。corpus に本伝なし。	corpus 見出し「$ 272 عبد الرحمن بن عثمان بن الرضي عبد الرحمن بن عثمان بن الرضي عبد الرحمن ابن علي السفط رشيدي ثم القاهري …」／見出し検索「عثمان بن الرضي」= D03679 のみ（1件）	H	
AIND-D03681	other	ابن الأشقر	KEEP	#NEEDID				原文「وممن صاهر في بيت ابن الأشقر」＝個人ではなく家門（بيت）への言及。家門の中心人物は #AIND-D07940「محمد بن عثمان بن سليمان بن رسول … المحب بن الشرف الكرادي … القرمي القاهري الحنفي … ويعرف بابن الأشقر لقب لوالده」（生780、子 أحمد=D01393・إبراهيم=D00285、弟 حسين=D02706）だが、婚姻相手が誰かは原文から特定不能	M	ASHQAR
AIND-D03696	father	علي بن محمد	NEW	TMP-P-000857(新規提案)	علي بن محمد بن أحمد بن حسن بن الزين محمد بن الأمين محمد بن القطب محمد بن أحمد القسطلاني المكي	ʿAlī b. Muḥammad b. Aḥmad b. Ḥasan b. al-Zayn Muḥammad b. al-Amīn Muḥammad b. al-Quṭb Muḥammad b. Aḥmad al-Qasṭallānī al-Makkī	出現項: D03696（父）。メッカのカスタッラーニー家。子女多数が corpus に立項: عبد الرحمن=D03696、عبد المجيد=D04685、محمد=D08156、أبو القسم=D11078、زينب=D13099、ست قريش=D13176、فاطمة=D13450。836年に子らへの一括イジャーザ。本人の本伝は corpus になし。	corpus に「علي بن محمد بن أحمد بن حسن …」で始まる見出しは0件。子の見出し例: D04685「$ 294 عبد المجيد بن علي بن محمد بن أحمد بن حسن بن الزين محمد بن الأمين محمد ابن القطب محمد بن أحمد بن علي القسطلاني . أجاز له في سنة ست وثلاثين جماعة」	H	QASTALLANI
AIND-D03719	father	عيسى بن سلطان	NEW	TMP-P-000858(新規提案)	عيسى بن سلطان الغزي	ʿĪsā b. Sulṭān al-Ghazzī	出現項: D03719（父）。ガザのイブン・スルターン家の祖。子 عبد الرحمن بن عيسى بن سلطان الغزي الشافعي=#AIND-D03719、孫 الشمس محمد بن عبد الرحمن بن عيسى بن سلطان=#AIND-D07571（ويعرف بابن سلطان）。corpus に本伝なし。	corpus に「عيسى بن سلطان」で始まる見出しは0件（「عيسي بن سلطان」全文ヒットも D03719/D07571 の2件のみ）	H	
AIND-D03739	grandfather	ناصر الدين أبو الفرج	AIND:#AIND-D07182	AIND-D07182				corpus 見出し #AIND-D07182「$ 402 محمد ناصر الدين أبو الفرج أخو الثلاثة قبله وشقيق ثانيهم ووالد الشمس محمد الآتي . ولد في صفر سنة ست وثمانمائة بالمدينة النبوية」＝マディーナのマラーギー家 أبو الفرج محمد بن أبي بكر بن الحسين（生806）。#AIND-D07234「محمد بن أبي بكر بن محمد بن أبي بكر بن الحسين الكمال أبو الفضل حفيد أبي الفرج بن الزين المراغي」がナサブを裏づける。ID-Master にも「أبو الفرج المراغي = AIND-D07182（旧TMP-P-000140から統合）」として既登録。⚠本項主 D03739 は「عبد الرحمن بن محمد بن أبي بكر بن الحسين وجيه الدين بن الشيخ ناصر الدين أبي الفرج بن الزين」＝أبو الفرج は【父】であり祖父ではない（祖父は الزين أبو بكر=#AIND-D10690）。subtype を father に是正のうえ D07182 を付与すべき	H	MARAGHI
AIND-D03760	father	محمد بن عبد القادر بن محمد بن علي	NEW	TMP-P-000859(新規提案)	الجمال أبو الخير محمد بن عبد القادر بن محمد بن علي القرشي العدوي الجراني المدني الحنبلي	al-Jamāl Abū al-Khayr Muḥammad b. ʿAbd al-Qādir b. Muḥammad b. ʿAlī al-Qurashī al-ʿAdawī al-Jarrānī al-Madanī al-Ḥanbalī	出現項: D03760（父）。マディーナのハンバル派、ابن الحجار 家。子 عبد الرحمن とともに ابن صديق に聴聞（「سمع على ابن صديق مع أبيه」＝父も同席）。corpus に本伝なし。	corpus 見出し検索「محمد بن عبد القادر بن محمد بن علي」＝ D03760 と D07713（النويري家、別人）のみ。「الجراني」全文ヒットは D03760 の1件	H	
AIND-D03771	grandfather	العفيف اليافعي	NEW	TMP-P-000860(新規提案)	العفيف أبو محمد عبد الله بن أسعد بن علي بن سليمان بن فلاح اليافعي اليمني ثم المكي	al-ʿAfīf Abū Muḥammad ʿAbd Allāh b. Asʿad b. ʿAlī b. Sulaymān b. Falāḥ al-Yāfiʿī al-Yamanī al-Makkī	出現項: D03771（「حفيد العفيف اليافعي」）。8世紀（768/1367没）の高名なスーフィー・歴史家で、サハーウィー『ダウ』の対象世紀外のため本伝なし。子孫が corpus に多数立項（子 عبد الوهاب التاج=#AIND-D04775、娘 زينب=#AIND-D13094、曾孫 محمد الجمال=#AIND-D07914 ほか）。⚠既登録の TMP-P-000406「اليافعي」（裸のニスバ形）と同一人物の可能性が高く、統合要検討。ニスバとしては TMP-N-00167。	corpus 見出し #AIND-D04775「$ 382 عبد الوهاب بن عبد الله بن أسعد بن علي بن سليمان بن فلاح التاج أبو محمد بن الولي الشهير العفيف أبي محمد اليافعي اليمني ثم المكي الشافعي」（＝العفيف の子）。「عبد الله بن أسعد」で始まる見出しは0件。⚠本項 D03771 の直接の祖父は عبد الوهاب=#AIND-D04775（原文「الآتي أبوه وجده」）であり、desc「العفيف اليافعي」は「حفيد العفيف اليافعي」（遠祖）を指す。subtype の再検討も必要	M	YAFII
AIND-D03774	father	أبو البركات محمد	AIND:#AIND-D07994	AIND-D07994				corpus 見出し #AIND-D07994「$ 387 محمد الكمال أبو البركات الحنفي أخو اللذين قبله وشقيق ثانيهما . ولد في سنة خمس وثمانين وسبعمائة أو التي بعدها بمكة」。直前の #AIND-D07992「محمد بن علي بن أحمد بن عبد العزيز بن القسم بن عبد الرحمن … الجمال أبو الخير … الهاشمي العقيلي النويري ثم المكي」がナサブを与える＝أبو البركات محمد بن علي بن أحمد بن عبد العزيز النويري المكي الحنفي。#AIND-D04189「عبد القادر بن محمد بن علي بن أحمد بن عبد العزيز محيي الدين بن الكمال أبي البركات العقيلي النويري المكي الحنفي」が子として整合（生829）、#AIND-D08913「محمد بن أبي البركات محمد بن علي بن أحمد بن عبد العزيز」（生824）も同。生785 の父に対し子は824-837生で年代整合。B59-63 欠番WL「単独立項なし」を撤回	H	NUWAYRI-ABUBARAKAT
AIND-D03785	successor	المحب بن عز الدين	AIND:#AIND-D01225	AIND-D01225				corpus 見出し #AIND-D01225「$ 249 أحمد بن محمد بن أحمد بن محمد بن أحمد بن عبد العزيز المحب بن العز بن المحب بن القاضي الكمال أبي الفضل الهاشمي النويري المكي الشافعي」、本文に「وولي حسبة مكة وقتا」。生808・没866（メッカ）で、848年に本項主 ابن غانم がヒスバを継いだ相手として年代・地・職すべて整合。corpus にメッカのヒスバを帯びた他の「المحب بن عز الدين」はない	H	
