file	AIND	12桁	type属性	repo	corpusAIND	corpus帳簿	型	転送先	見出し	corpus原文(150)	判定
AIND-D00933_810326951878.xml	AIND-D00933	810326951878		なし		$$$	転送指示あり		أحمد بن عبد الله الشهاب القلقشندي	أحمد بن عبد الله الشهاب القلقشندي ، مضى فيمن جده أحمد بن عبد الله وأن صوابه أحمد بن علي بن أحمد بن عبد الله وسيأتي .	REF 維持
AIND-D01914_965780443372.xml	AIND-D01914	965780443372		なし		$$$	転送指示あり		إسماعيل بن إبراهيم بن جوشن	إسماعيل بن إبراهيم بن جوشن سيأتي فيمن جده محمد .	REF 維持
AIND-D01918_339159814385.xml	AIND-D01918	339159814385		なし		$$$	転送指示あり		إسماعيل بن إبراهيم بن شرف	إسماعيل بن إبراهيم بن شرف . يأتي فيمن جده محمد بن علي بن شرف قريبا .	REF 維持
AIND-D01921_305261216747.xml	AIND-D01921	305261216747		なし		$$$	転送指示あり		إسماعيل بن إبراهيم بن علي بن شرف	إسماعيل بن إبراهيم بن علي بن شرف . يأتي قريبا .	REF 維持
AIND-D01930_387234926859.xml	AIND-D01930	387234926859		なし		$$$	転送指示あり		إسماعيل بن إبراهيم الجبرتي	إسماعيل بن إبراهيم الجبرتي . فيمن جده عبد الصمد .	REF 維持
AIND-D02480_283191023014.xml	AIND-D02480	283191023014		なし		$$$	転送指示あり		حاجي بن مغلطاي ويقال له أمير حاج	حاجي بن مغلطاي ويقال له أمير حاج ، مضى في الهمزة .	REF 維持
AIND-D02494_412231957514.xml	AIND-D02494	412231957514		なし		$$$	転送指示あり（في على غير منسوب）		حدندل	حدندل ، في على غير منسوب .	REF 維持
MERGED_AIND-D00612_311716480300.xml	AIND-D00612	311716480300	merged	なし		$$$	MERGED（統合）		أحمد بن أبي بكر بن محمد بن عثمان بن أحمد بن عمر بن سلامة المارديني الحلبي الحنفي	أحمد بن أبي بكر بن محمد بن عثمان بن أحمد بن عمر بن سلامة المارديني الحلبي الحنفي . ولد سنة سبعين هكذا رأيته بخطى في الأحمدين وهو غلط صوابه الحسن وهو أ	REF ではなく名寄せ統合の退避ファイル
REF_AIND-D00394_408502894922.xml	AIND-D00394	408502894922	REF	なし		$$$	転送指示あり		إبراهيم الزرعي الدمشقي	إبراهيم الزرعي الدمشقي . مضى قريبا في الملقبين ببرهان الدين .	REF 維持
REF_AIND-D00397_319505302366.xml	AIND-D00397	319505302366	REF	なし		$$$	転送指示あり		إبراهيم السنهوري المالكي	إبراهيم السنهوري المالكي . مضى في الملقبين ببرهان الدين قريبا .	REF 維持
