AIND	12桁	転送先	cert	見出し	原文
AIND-D00394	408502894922	#AIND-D00375		إبراهيم الزرعي الدمشقي	إبراهيم الزرعي الدمشقي . مضى قريبا في الملقبين ببرهان الدين .
AIND-D00397	319505302366	#AIND-D00376	high(2026-09-09閉合)	إبراهيم السنهوري المالكي	إبراهيم السنهوري المالكي . مضى في الملقبين ببرهان الدين قريبا .
AIND-D00515	868023796832	#AIND-D00500		أحمد بن أحمد بن محمد بن علي بن أبي بكر بن أيوب بن درباس	أحمد بن أحمد بن محمد بن علي بن أبي بكر بن أيوب بن درباس . مضى بدون محمد في نسبه .
AIND-D00522	756614693985	#AIND-D00516		أحمد بن أحمد بن محمد شهاب الدين الطولوني	أحمد بن أحمد بن محمد شهاب الدين الطولوني كبير المهندسين . مضى قريبا فيمن جده محمد بن علي بن عبد الله بن علي . 
AIND-D00530	713165898875	#AIND-D00524		أحمد بن أحمد بن موسى بن إبراهيم الحنبلي بن الضياء	أحمد بن أحمد الحنبلي بن الضياء ، مضى فيمن اسم جده أحمد بن موسى بن إبراهيم .
AIND-D00535	814995211398	#AIND-D01384		أحمد بن أبي أحمد شهاب الدين المغراوي المالكي	أحمد بن أبي أحمد شهاب الدين المغراوي المالكي . يأتي في ابن محمد بن عبد الله .
AIND-D00590	459020436725	#AIND-D00600		أحمد بن أبي بكر بن سراج البابي	أحمد بن أبي بكر بن سراج البابي . فيمن جده علي بن سراج .
AIND-D00612	311716480300	#AIND-D02531		أحمد بن أبي بكر بن محمد بن عثمان بن أحمد بن عمر بن سلامة الم	أحمد بن أبي بكر بن محمد بن عثمان بن أحمد بن عمر بن سلامة المارديني الحلبي الحنفي . ولد سنة سبعين هكذا رأيته بخ
AIND-D00676	257941308831	#AIND-D00669		أحمد بن حسن البطائحي	أحمد بن حسن البطائحي . مضى فيمن جده محمد بن سليمان .
AIND-D00681	396051350955	#AIND-D00657		أحمد بن الحسن العباسي الحنبلي	أحمد بن الحسن العباسي الحنبلي . مضى فيمن جده داود بن سالم .
AIND-D00787	173421889173	#AIND-D07504		أحمد بن ططر	أحمد بن ططر . كذا رأيته بهامش نسختي من الأنباء أظنه نقلا من العيني وصوابه محمد وسيأتي إن شاء الله .
AIND-D00825	282549290706	#AIND-D00835		أحمد بن عبد الرحمن بن عبد الناصر الزبيري . يأتي فيمن جده محم	أحمد بن عبد الرحمن بن عبد الناصر الزبيري . يأتي فيمن جده محمد بن عبد الناصر .
AIND-D00841	100038346482	#AIND-D00821	medium(2026-09-09閉合)	أحمد بن عبد الرحمن بن العلامة جمال الدين بن هشام . مضى أيضا 	أحمد بن عبد الرحمن بن العلامة جمال الدين بن هشام . مضى أيضا فيمن جده محمد بن عبد الله بن يوسف .
AIND-D00862	276308166441	#AIND-D00855		أحمد بن عبد العزيز الشيفكي ثم الشيرازي . مضى فيمن جده أحمد	أحمد بن عبد العزيز الشيفكي ثم الشيرازي . مضى فيمن جده أحمد .
AIND-D00864	986428999469	#AIND-D00544a		أحمد بن عبد القادر بن إبراهيم الصدر أبو البركات بن المجد الم	أحمد بن عبد القادر بن إبراهيم الصدر أبو البركات بن المجد المكراني الأصل المكي الشافعي . مضى في ابن إسماعيل ورأ
AIND-D00926	241046652863	#AIND-D00894		أحمد بن عبد الله الشهاب البوصيري	أحمد بن عبد الله الشهاب البوصيري فيمن جده حسن .
AIND-D00932	344994088904	#AIND-D00883		أحمد بن عبد الله شهاب الدين القزويني	أحمد بن عبد الله شهاب الدين القزويني . مضى فيمن جده أحمد بن محمد بن محمد بن محمد بن يوسف .
AIND-D00933	810326951878	#AIND-D00985	high(2026-09-09閉合)	أحمد بن عبد الله الشهاب القلقشندي	أحمد بن عبد الله الشهاب القلقشندي ، مضى فيمن جده أحمد بن عبد الله وأن صوابه أحمد بن علي بن أحمد بن عبد الله وس
AIND-D00967	650154870807	#AIND-D01367		أحمد بن عربشاه	أحمد بن عربشاه . في ابن محمد بن عبد الله بن إبراهيم .
AIND-D00977	107793614886	#AIND-D01757		أحمد بن علي بن إبراهيم الحلبي	أحمد بن علي بن إبراهيم الحلبي ابن أخي الصوة يأتي في أواخر الأحمدين فيمن لم يسم أبوه .
