12桁	帳簿	直前のAIND	本文冒頭
352468336744	$$$	AIND-D00050	إبراهيم بن أحمد بن وفاء . في ابن أحمد بن محمد بن محمد بن وفاء .
871945470082	$$$	AIND-D00056	إبراهيم بن أحمد البيجوري . في ابن أحمد بن علي بن سليمان بن سليم .
560623255847	$$$	AIND-D00117	إبراهيم بن خليل الكردي . هو الذي قبله .
862046912930	$$$	AIND-D00174	إبراهيم بن علبك . في ابن أحمد بن غنائم .
615463781131	$$$	AIND-D00361	إبراهيم ابن أخي ابن الزمن . هو ابن عبد الكريم بن عمر . مضى .
636238168857	$$$	AIND-D00367	إبراهيم بن الحموي . في ابن محمود بن عبد الرحيم بن أبي بكر .
147845022490	$$$	AIND-D00367	إبراهيم بن خطيب عذراء . في ابن محمد بن عيسى بن عمر .
832237994778	$$$	AIND-D00367	إبراهيم بن قنديل . يأتي قريبا في إبراهيم الشامي .
552754742070	$$$	AIND-D00377	إبراهيم برهان الدين الحنبلي الصواف . مضى في ابن عمر .
477777363778	$$$	AIND-D00384	إبراهيم الأخضري المغربي . مضى في ابن محمد .
210449204049	$$$	AIND-D00391	إبراهيم الحتاتي مضى في ابن أحمد بن محمد .
535306437462	$$$	AIND-D00392	إبراهيم الخدري . في الأخضري وأنه ابن محمد .
103943242584	$$$	AIND-D00392	إبراهيم الخنجي . في ابن محمد بن مبارز بن محمد .
121924223833	$$$	AIND-D00393	إبراهيم الزايرجي نزيل دمياط . مات في .
408502894922	$$$	AIND-D00393	إبراهيم الزرعي الدمشقي . مضى قريبا في الملقبين ببرهان الدين .
707545531227	$$$	AIND-D00393	إبراهيم الزواوي . هو ابن محمد بن عبد الرحمن بن يحيى .
319505302366	$$$	AIND-D00396	إبراهيم السنهوري المالكي . مضى في الملقبين ببرهان الدين قريبا .
496840475517	$$$	AIND-D00407	إبراهيم الفرنوي أحد الكتاب . في ابن يوسف بن عيسى .
284218622852	$$$	AIND-D00408c	إبراهيم الكلبشي . في ابن محمد .
581158568836	$$$	AIND-D00409	إبراهيم المتبولي . هو ابن علي بن عمر .
343983260557	$$$	AIND-D00410a	إبراهيم الناجي . في ابن محمد بن محمود .
273682531221	$$$	AIND-D00413	اجترك القاسمي في مشترك .
868023796832	$$$	AIND-D00514	أحمد بن أحمد بن محمد بن علي بن أبي بكر بن أيوب بن درباس . مضى بدون محمد في نسبه .
756614693985	$$$	AIND-D00521	أحمد بن أحمد بن محمد شهاب الدين الطولوني كبير المهندسين . مضى قريبا فيمن جده محمد بن علي بن عبد الله بن علي .
713165898875	$$$	AIND-D00529	أحمد بن أحمد الحنبلي بن الضياء ، مضى فيمن اسم جده أحمد بن موسى بن إبراهيم .
814995211398	$$$	AIND-D00534	أحمد بن أبي أحمد شهاب الدين المغراوي المالكي . يأتي في ابن محمد بن عبد الله .
579883500680	$$$	AIND-D00536	أحمد بن أبي أحمد الزاهد . في ابن محمد بن سليمان .
677552063623	$$$	AIND-D00536	أحمد بن أرسلان بن عباد السفطي . يأتي في ابن عباد .
626641601721	$$$	AIND-D00560	أحمد بن اقبرص . مضى في ابن آق برص بمهملتين .
459020436725	$$$	AIND-D00589	أحمد بن أبي بكر بن سراج البابي . فيمن جده علي بن سراج .
311716480300	$$$	AIND-D00611	أحمد بن أبي بكر بن محمد بن عثمان بن أحمد بن عمر بن سلامة المارديني الحلبي الحنفي . ولد سنة سبعين هكذا رأيته بخطى في الأح
247015146843	$$$	AIND-D00633	أحمد بن تقي المالكي . هو ابن محمد بن أحمد بن علي يأتي .
883714688348	$$$	AIND-D00633	أحمد بن تميم . هو ابن علي بن يحيى بن تميم يأتي .
657113220451	$$$	AIND-D00641	أحمد بن أبي جعفر . في ابن محمد بن أحمد بن عمر بن الضياء محمد بن عثمان الحلبي .
308965016935	$$$	AIND-D00641	أحمد بن جلال . في يعقوب بن جلال بن أحمد بن يوسف .
617120531821	$$$	AIND-D00645	أحمد بن حامد . هو ابن محمد بن محمد بن حامد .
257941308831	$$$	AIND-D00675	أحمد بن حسن البطائحي . مضى فيمن جده محمد بن سليمان .
396051350955	$$$	AIND-D00680	أحمد بن الحسن العباسي الحنبلي . مضى فيمن جده داود بن سالم .
154870482376	$$$	AIND-D00696	أحمد بن حسين بن محمد بن سليمان بن محمد البظائحي . صوابه ابن حسن وقد مضى .
763816314319	$$$	AIND-D00699	أحمد بن حسين بن محمد . في أحمد القزويني من آخر الأحمدين .
216648386078	$$$	AIND-D00732	أحمد بن رسلان . هو ابن الحسين بن الحسن بن علي بن رسلان .
871152748077	$$$	AIND-D00737	أحمد بن الزين الوالي . يأتي في ابن عمر .
969328821822	$$$	AIND-D00744a	أحمد بن أبي السعود . في ابن إسماعيل بن إبراهيم بن موسى .
835245311589	$$$	AIND-D00763	أحمد بن سليمان الهندي . يأتي في مكي .
746418341488	$$$	AIND-D00769	أحمد بن الشريفة . هو ابن محمد بن محمد بن يعقوب . يأتي .
215595615862	$$$	AIND-D00772	أحمد بن شعيب . في ابن محمد بن شعيب . يأتي .
419870803575	$$$	AIND-D00772	أحمد بن سكر ويدعى بدير يأتي في الموحدة .
347867186818	$$$	AIND-D00777	أحمد بن صالح بن تاج الدين الشهاب المحلى خطيب جامع ابن ميالة . يأتي في أحمد بن محمد بن عبد الله .
499231229578	$$$	AIND-D00780	أحمد بن صالح بن محمد بن محمد بن أبي السفاح . هكذا نسبه شيخنا في إنبائه وصوابه أحمد بن صالح بن أحمد بن عمر ، وقد تقدم .
870594905740	$$$	AIND-D00781	أحمد بن صالح الشاعر . هو ابن محمد بن صالح يأتي .
170896918159	$$$	AIND-D00782	أحمد بن صحصاح بمهملات يأتي في ابن محمد بن محمد بن علي بن عثمان .
611508553362	$$$	AIND-D00784	أحمد بن الصلاح هو بن محمد بن محمد بن عثمان بن
562506499749	$$$	AIND-D00792	أحمد بن عاشر . هو ابن قاسم بن أحمد . يأتي .
496542680747	$$$	AIND-D00797	أحمد بن عبادة . يأتي في ابن محمد بن محمد بن عبادة .
101560878769	$$$	AIND-D00803	أحمد بن عبد الحميد المالكي . في ابن يوسف بن عمر بن يوسف .
282549290706	$$$	AIND-D00824	أحمد بن عبد الرحمن بن عبد الناصر الزبيري . يأتي فيمن جده محمد بن عبد الناصر .
679129122529	$$$	AIND-D00833	أحمد بن عبد الرحمن بن الشيخ محمد بن حسن أبو اليسر بن أبي الفضل الحنفي . في الكنى .
100038346482	$$$	AIND-D00840	أحمد بن عبد الرحمن بن العلامة جمال الدين بن هشام . مضى أيضا فيمن جده محمد بن عبد الله بن يوسف .
276308166441	$$$	AIND-D00861	أحمد بن عبد العزيز الشيفكي ثم الشيرازي . مضى فيمن جده أحمد .
986428999469	$$$	AIND-D00863	أحمد بن عبد القادر بن إبراهيم الصدر أبو البركات بن المجد المكراني الأصل المكي الشافعي . مضى في ابن إسماعيل ورأيت بخط بعض
569309661013	$$$	AIND-D00882	أحمد بن عبد الله بن أحمد بن عبد الله الشهاب بن الجمال القلقشندي . يأتي في ابن علي بن أحمد بن عبد الله فالصواب في اسم أبي
938148366159	$$$	AIND-D00883	أحمد بن عبد الله بن أحمد اليرتقي . في ابن محمد المريقي .
241046652863	$$$	AIND-D00925	أحمد بن عبد الله الشهاب البوصيري فيمن جده حسن .
344994088904	$$$	AIND-D00931	أحمد بن عبد الله شهاب الدين القزويني . مضى فيمن جده أحمد بن محمد بن محمد بن محمد بن يوسف .
810326951878	$$$	AIND-D00931	أحمد بن عبد الله الشهاب القلقشندي ، مضى فيمن جده أحمد بن عبد الله وأن صوابه أحمد بن علي بن أحمد بن عبد الله وسيأتي .
293706139612	$$$	AIND-D00944	أحمد بن عبد الله الزهوري . مضى في أحمد بن أحمد بن عبد الله .
803435710433	$$$	AIND-D00946	أحمد بن عبد الله القوصي . مضى في الملقبين شهاب الدين قريبا .
669918431204	$$$	AIND-D00946	أحمد بن أبي عبد الله بن أبي العباس بن عبد المعطي . يأتي في ابن محمد بن أحمد بن محمد بن عبد المعطي .
512757860339	$$$	AIND-D00955	أحمد بن عبيد بن علي بن أحمد . مضى في ابن عبد الرحمن بن علي بن أحمد .
