file	element	attribute	hijri_value	stored_ce	gregorian_ce	precision
Individuals/AIND-D01689_876018142767.xml	death	when	0876-06-26	1471-12-10	1471-12-19	day
Individuals/AIND-D01750_532487868112.xml	death	when	0859-05-05	1455-04-23	1455-05-02	day
Individuals/AIND-D02015_461461524917.xml	death	when	0803-05-16	1401-01-02	1401-01-11	day
Individuals/AIND-D03249_614939499578.xml	death	when	0880-09	1475-12	1476-01	month
Individuals/AIND-D03252_123794889783.xml	death	when	0877-01-01	1472-06-08	1472-06-17	day
Individuals/AIND-D03262_933182315609.xml	death	when	0864-03	1459-12	1460-01	month
Individuals/AIND-D03262_933182315609.xml	event	when	0864-03	1459-12	1460-01	month
Individuals/AIND-D03263_955525373021.xml	death	when	0892-05	1487-04	1487-05	month
Individuals/AIND-D03265_477886422113.xml	death	when	0889-02	1484-02	1484-03	month
Individuals/AIND-D03265_477886422113.xml	event	when	0889-02	1484-02	1484-03	month
Individuals/AIND-D03288_495934512268.xml	death	when	0837-11-19	1434-06-27	1434-07-06	day
Individuals/AIND-D03289_438891977868.xml	death	when	0844-10	1441-02	1441-03	month
Individuals/AIND-D03294_226693749916.xml	death	when	0810-11	1408-03	1408-04	month
Individuals/AIND-D03295_653279786067.xml	death	when	0853-02	1449-03	1449-04	month
Individuals/AIND-D03886_195702039004.xml	death	when	0886-09	1481-10	1481-11	month
Individuals/AIND-D03892_510958510572.xml	death	when	0853-08-13	1449-10-01	1449-10-10	day
Individuals/AIND-D03903_452141785592.xml	death	when	0874-03-15	1469-09-22	1469-10-01	day
Individuals/AIND-D03913_995090244114.xml	death	when	0886-09	1481-10	1481-11	month
Individuals/AIND-D03929_832468689454.xml	birth	when	0844-05	1440-09	1440-10	month
Individuals/AIND-D03937_784125141576.xml	death	when	0888-01-27	1483-03-07	1483-03-16	day
Individuals/AIND-D03966_930823945348.xml	death	when	0710-11-09	1311-03-30	1311-04-07	day
Individuals/AIND-D03991_601995879093.xml	death	when	0891-10	1486-09	1486-10	month
Individuals/AIND-D03997_156984419003.xml	death	when	0867-02	1462-10	1462-11	month
Individuals/AIND-D04021_459251131127.xml	death	when	0880-09	1475-12	1476-01	month
Individuals/AIND-D04023_905126617852.xml	death	when	0844-06	1440-10	1440-11	month
