	Person	علي بن محمد بن عبد الرحمن المغربي العطار	ʿAlī b. Muḥammad b. ʿAbd al-Raḥmān al-Maghribī al-ʿAṭṭār	TMP-P-NEW88a-01	出現: D04508（父）。見出しナサブ「عبد الله بن علي بن محمد بن عبد الرحمن المغربي العطار」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	علي بن موسى بن علي بن قريش بن داود الهاشمي المكي	ʿAlī b. Mūsā b. ʿAlī b. Quraysh b. Dāwūd al-Hāshimī al-Makkī	TMP-P-NEW88a-02	出現: D04511（父）。見出しナサブ「عبد الله بن علي بن موسى بن علي بن قريش بن داود الهاشمي المكي」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。	
	Person	غزال الحبشية (فتاة السراج عمر بن عبد العزيز النويري)	Ghazāl al-Ḥabashiyya	TMP-P-NEW88a-03	出現: D04520（母「وأمه غزال الحبشية فتاة أبيه」）。父 #AIND-D05872（السراج عمر بن عبد العزيز العقيلي النويري المكي）の女奴隷。corpus 女性部に本伝なし・ID-Master 未登録。先例 TMP-P-000568（نور الصباح الحبشية）。	
	Person	عمر بن عبد الله بن عمر بن مسعود العمري المكي	ʿUmar b. ʿAbd Allāh b. ʿUmar b. Masʿūd al-ʿUmarī al-Makkī	TMP-P-NEW88a-04	出現: D04522（父）。見出しナサブ「عبد الله بن عمر بن عبد الله بن عمر بن مسعود العمري المكي」から1段ずらして復元（統一規則3）。マッカの قواد「العمرة」一族（D02442／D03184／D04271／D05102／D07800／D08085／D09936 と同祖 عمر بن مسعود）。corpus 本伝なし・ID-Master 未登録。	
	Person	عمر بن عثمان الشمري الملحاني	ʿUmar b. ʿUthmān al-Shammarī al-Milḥānī	TMP-P-NEW88a-05	出現: D04524（父）。見出しナサブ「عبد الله بن عمر بن عثمان أبو محمد الشمري الملحاني」から1段ずらして復元（統一規則3）。子は本項主 #AIND-D04524 と #AIND-D03712（عبد الرحمن بن عمر بن عثمان الشمري الملحاني）。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	عمر بن محمد بن مسعود بن إبراهيم الأعرابي	ʿUmar b. Muḥammad b. Masʿūd b. Ibrāhīm al-Aʿrābī	TMP-P-NEW88a-06	出現: D04530（父）。見出しナサブ「عبد الله بن عمر بن محمد بن مسعود بن إبراهيم الأعرابي」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。	
	Person	عمر بن محمد الدملوي اليمني	ʿUmar b. Muḥammad al-Damlawī al-Yamanī	TMP-P-NEW88a-07	出現: D04531（父）。見出しナサブ「عبد الله بن عمر بن محمد الدملوي اليمني」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	عبد الله العراقي (شيخ الطريق باليمن)	ʿAbd Allāh al-ʿIrāqī	TMP-P-NEW88a-08	出現: D04532（師「صحب عبد الله العراقي وانتفع به في الطريق ونصبه شيخا」）。9世紀イエメンのスーフィー師。corpus 他所に出現なし・本伝なし・ID-Master 未登録（TMP-N-00105 العراقي はニスバ番号、wd:Q4664581 الزين العراقي とは別人）。⚠汎用名（名＋ニスバのみ）。同名別人への流用禁止。	
	Person	الشهاب القباقبي (المقرئ)	al-Shihāb al-Qabāqibī	TMP-P-NEW88a-09	出現: D04534（師「وكذا أخذ عن الشهاب القباقبي」、読誦学）。corpus 他所に出現なし・ID-Master 未登録（TMP-N-00454 القباقبي はニスバ番号）。⚠ القباقبي 家の読誦学者 الشمس محمد بن خليل القباقبي（corpus に「الشمس القباقبي」として頻出）とは別人（ラカブ相違）。⚠汎用名。同名別人への流用禁止。	
	Person	عيسى بن عبد الله الكردي	ʿĪsā b. ʿAbd Allāh al-Kurdī	TMP-P-NEW88a-10	出現: D04534（父）。見出しナサブ「عبد الله بن عيسى بن عبد الله الجمال الكردي」から1段ずらして復元（統一規則3）。corpus 本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Location	الحسانية | الحسامية	al-Ḥassāniyya | al-Ḥusāmiyya	TMP-L-NEW88a-01	出現: D04510（父のザーウィヤの所在「انتصب بعده في زاويته بالحسامية」）。父 #AIND-D05659 の本伝は「الحادث ساحل مور وهو واد عظيم به عدة قرى منها الحسانية قرية أبي حسان بن محمد الأشعري」と記し、同ザーウィヤはこの村にある。刊本 D04510 の「الحسامية」は「الحسانية」の異綴と判断（ISSUES §Da-2）。イエメン・ワーディー・マウルの村。GeoNames 照合不可。	
	Office	القيام بزاوية الشيبي بالحسانية | شيخ زاوية علي بن موسى الشيبي	al-qiyām bi-zāwiyat al-Shaybī bi-l-Ḥassāniyya	TMP-O-NEW88a-01	出現: D04510（「انتصب بعده في زاويته بالحسامية」＝父 #AIND-D05659 علي بن موسى الشيبي のザーウィヤ運営を継承）。先例 TMP-O-00274（القيام بزاوية داود الحكمي、D07378）・TMP-O-00265（شيخ زاوية عمر）と同型の施設限定シャイフ職。	
	Office	خادم البيمارستان	khādim al-bīmāristān	TMP-O-NEW88a-02	出現: D04516（「التعزي المدني الشافعي خادم البيمارستان」）。施療院の奉仕人職。既存の خادم 系（O-00153/00184/00200/00213/00225）・施療院系（O-00025 مستوفي／O-00148 نظر／O-00226 شيخ）とは別職。施設の所在は原文に明示なし（orgName は #NEEDID）。	
	Text	صلحاء اليمن | طبقات صلحاء اليمن	Ṣulaḥāʾ al-Yaman	TMP-T-NEW88a-01	出現: D04532（「ذكره صاحب صلحاء اليمن」）。corpus に L20097／L47817／L48901／L71497／L79322／L103289／L111614 でも言及されるイエメンの聖者伝集。著者は corpus 上 الكمال موسى الدوالي（#AIND-D10050、「أطال ترجمته في صلحاء اليمن من تأليفه」）と同人の師（「اختصر مؤلف شيخه في صلحاء اليمن」）の両様に読め未確定（ISSUES §Da-6）。ID-Master 未登録。	
