	Person	ابنة العلم البلقيني (التي حجت سنة السلطان)	bint al-ʿAlam al-Bulqīnī	TMP-P-NEW88b-01	出現: D07444（「حج سنة السلطان صحبة ابنة العلم البلقيني وكان منزلا في سبعها」＝同行者・سبع の設立者）。العلم صالح بن عمر البلقيني の娘で 884 年（カーイトバーイのハッジ年、D00196）に存命の者。女性部で同人の娘として本伝を持つ عمائم/ستيتة（#AIND-D13360）は 872 年没で不一致。D08815（أبو السعادات البلقيني）本伝「مع بقاء ابنة العلم البلقيني التي كان تزويجها بعد أختها」＝عمائم の妹（أبو السعادات の後妻）が有力候補。女性(F)。corpus に本伝なし・ID-Master 未登録。ISSUES §Db-2	
	Person	سليمان بن أحمد بن إبراهيم بن عبد الملك العلم الفقيه السنباطي الدمياطي	Sulaymān b. Aḥmad b. Ibrāhīm b. ʿAbd al-Malik al-ʿAlam al-Faqīh al-Sunbāṭī	TMP-P-NEW88b-02	出現: D07445（父）。見出しナサブ「محمد بن سليمان بن أحمد بن إبراهيم بن عبد الملك الشمس بن العلم」から1段ずらして復元（統一規則3）。「ويعرف بابن الفقيه سليمان وأبوه بالسنباطي」＝الفقيه سليمان・السنباطي として知られた。corpus に本伝なし・ID-Master 未登録。初版は #NEEDID	
	Person	التاج عتيق قاضي دمياط	al-Tāj ʿAtīq, qāḍī Dimyāṭ	TMP-P-NEW88b-03	出現: D07445（師「وبحث على قاضي بلده التاج عتيق」）。ダミエッタのカーディー（8世紀末〜9世紀初）。D07204 にも「القاضيين التاج عتيق والعز بن سليم」として出現。corpus に本伝なし・ID-Master 未登録。初版は #NEEDID	
	Person	سليمان بن حماد السكندري	Sulaymān b. Ḥammād al-Sakandarī	TMP-P-NEW88b-04	出現: D07448（父）。見出しナサブ「محمد بن سليمان بن حماد الشمس السكندري」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止	
	Person	سليمان بن داود الطائفي	Sulaymān b. Dāwūd al-Ṭāʾifī	TMP-P-NEW88b-05	出現: D07452（父）。見出しナサブ「محمد بن سليمان بن داود الطائفي الغمري ثم القاهري」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止（D07453 の父 TMP-P-NEW88b-06 とは別人）	
	Person	سليمان بن داود اللاري	Sulaymān b. Dāwūd al-Lārī	TMP-P-NEW88b-06	出現: D07453（父）。見出しナサブ「محمد بن سليمان بن داود اللاري المؤذن」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止（D07452 の父 TMP-P-NEW88b-05 とは別人）	
	Person	سليمان بن وهبان المدني	Sulaymān b. Wahbān al-Madanī	TMP-P-NEW88b-07	出現: D07457（父）。見出しナサブ「محمد بن سليمان بن وهبان المدني」から1段ずらして復元（統一規則3）。#AIND-D03159（سليمان بن علي بن سليمان بن وهبان المدني）の祖父。corpus に本伝なし・ID-Master 未登録	
	Person	سنقر مولى ابن شرف الدين (والد محمد بن سنقر الشرفي)	Sunqur, mawlā Ibn Sharaf al-Dīn	TMP-P-NEW88b-08	出現: D07463（父「لكون والده مولاه」）。カイロ・الحسينية の「الجامع الشهير」の主 ابن شرف الدين の مولى（解放奴隷／被護者）。本項主のニスバ الشرفي の由来。corpus に本伝なし・ID-Master 未登録。初版は #NEEDID。ISSUES §Db-4	
	Person	سيف بن محمد بن عمر بن بشارة	Sayf b. Muḥammad b. ʿUmar b. Bishāra	TMP-P-NEW88b-09	出現: D07467（父）。見出しナサブから1段ずらして復元（統一規則3）。サファド方面の عشير の長 بنو بشارة 一族（D02119・D12189）。corpus に本伝なし・ID-Master 未登録。初版は father relation なし	
	Person	شعبان بن علي بن شعبان الغزي	Shaʿbān b. ʿAlī b. Shaʿbān al-Ghazzī	TMP-P-NEW88b-10	出現: D07472（父）。見出しナサブ「محمد بن شعبان بن علي بن شعبان الشمس الغزي الشافعي」から1段ずらして復元（統一規則3）。兄弟 #AIND-D00770（أحمد）・#AIND-D04123（عبد القادر）と共通の父。corpus に本伝なし・ID-Master 未登録	
