	Person	الزين صدقة بن خليل بن الحسن الحلبي	al-Zayn Ṣadaqa b. Khalīl b. al-Ḥasan al-Ḥalabī	TMP-P-NEW88c-01	出現: D07489（父「وأبوه ممن قرأ القراءات」）。見出しナサブ「محمد بن صدقة بن خليل بن الحسن الشمس بن الزين بن البدر الحلبي ويعرف بابن الفرفور」から1段ずらして復元（規則3）。アレッポの ابن الفرفور 家（8世紀。ダマスクスの قاضي ابن الفرفور=TMP-P-000625 とは別家系）。corpus 本伝なし・ID-Master 未登録。	
	Person	البدر خليل بن الحسن الحلبي كاتب الديوان بحلب	al-Badr Khalīl b. al-Ḥasan al-Ḥalabī, kātib al-dīwān bi-Ḥalab	TMP-P-NEW88c-02	出現: D07489（祖父「وأما جده فكان كاتب الديوان بحلب」）。ナサブから2段ずらして復元、職（アレッポのディーワーン書記）で識別。corpus 本伝なし・ID-Master 未登録。	
	Person	صدقة بن صالح المطري القاهري	Ṣadaqa b. Ṣāliḥ al-Maṭarī al-Qāhirī	TMP-P-NEW88c-03	出現: D07490（父）。見出し「محمد بن صدقة بن صالح المطري القاهري」から復元（規則3）。初版の汎用登録番号 TMP-P-000652（篠田「صدقة」＝同名複数で未確定）を差し替え。⚠汎用名。同名別人への流用禁止。corpus 本伝なし・ID-Master 未登録。	
	Person	طقزق بن ناصر الدين الصالحي	Ṭuqzuq b. Nāṣir al-Dīn al-Ṣāliḥī	TMP-P-NEW88c-04	出現: D07505（父）。見出し「محمد بن طقزق بن ناصر الدين الصالحي الحنفي」から復元。祖父は laqab ناصر الدين のみ判明。希少名＋ニスバで識別。corpus に طقزق は本項のみ・ID-Master 未登録。	
	Person	طلحة بن عيسى الهتار	Ṭalḥa b. ʿĪsā al-Hattār	TMP-P-NEW88c-05	出現: D07506（父）。見出し「محمد بن طلحة بن عيسى الهتار」から復元（規則3）。イエメン（ザビード近郊 التريبة）のスーフィー一族 الهتار。corpus D13086「زينب ابنة طلحة … الهتار（没831）」は娘の可能性、D03382「صديق بن عبد اللطيف بن عيسى الأشيب الهتار」は甥の可能性（いずれも原文に関係明記なし）。corpus 本伝なし・ID-Master 未登録。	
	Person	الشيخ عامر بن محمد بن محمد الغمري المقدسي	al-Shaykh ʿĀmir b. Muḥammad b. Muḥammad al-Ghamrī al-Maqdisī	TMP-P-NEW88c-06	出現: D07510（父「محمد بن الشيخ عامر بن محمد بن محمد الشمس الغمري المقدسي المادح الحائك」）。ナサブから1段ずらして復元（規則3）。corpus 本伝なし（عامر 部 D03462〜D03465 に該当なし）・ID-Master 未登録。	
	Person	عباس بن محمد بن عباس البعلي العلاف	ʿAbbās b. Muḥammad b. ʿAbbās al-Baʿlī al-ʿAllāf	TMP-P-NEW88c-07	出現: D07514（父「العلاف أبوه」）。見出し「محمد بن عباس بن محمد بن عباس الشمس البعلي」から復元（規則3）。バアルベクの飼料商。corpus 本伝なし・ID-Master 未登録。	
	Nisbah	الهتار	al-Hattār	TMP-N-NEW88c-01	出現: D07506（محمد بن طلحة بن عيسى الهتار）。イエメン・ザビード近郊のスーフィー一族名（corpus D03382「الأشيب الهتار اليمني التريبي من نواحي زبيد」、D13086）。ID-Master に الهتار／الهتاري とも未登録。	
	Location	سفح قاسيون	Safḥ Qāsiyūn	TMP-L-NEW88c-01	出現: D07494（埋葬「بتربة الزيني عبد الباسط بسفح قاسيون」）。ダマスクス北のカースィユーン山麓（サーリヒーヤ側の墓域）。ID-Master に قاسيون 未登録（repo の「سفح قاسيون」2件は TMP-L-00009／00140 の誤充当）。Wikidata 候補 Q1052047（Mount Qasioun、未照合）。	
	Location	قنطرة أمير حسين	Qanṭarat Amīr Ḥusayn	TMP-L-NEW88c-02	出現: D07508（「ابتنى بالقرب من قنطرة أمير حسين دارا」）。カイロのハリージュに架かる橋とその周辺地区。corpus D07820「بقنطرة أمير حسين」・D07840「نزيل قنطرة أمير حسين」・L68257 にも出現。ID-Master 未登録（既登録は قنطرة الموسكي=L-00213、باب القنطرة=L-00244 のみ）。	
	Institution	مدرسة ابن شعبة بفارسكور	Madrasat Ibn Shuʿba bi-Fāraskūr	TMP-I-NEW88c-01	出現: D07477（「ابتنى فيها مدرسة بقرب بيته وقرر الشهاب البيجوري مدرسها」）。البدر محمد بن شعبة الفارسكوري（#AIND-D07477）がファーラスクール（TMP-L-00243）の自宅近くに建てたマドラサ。corpus D01178「يتردد أياما من الأسبوع لفارسكور للتدريس بمدرسة ابتناها البدر بن شعبة」にも出現。ID-Master 未登録。	
	Office	شيخ الناحية (فارسكور)	shaykh al-nāḥiya (Fāraskūr)	TMP-O-NEW88c-01	出現: D07477（「شيخ تلك الناحية ومدركها」）。ファーラスクール地方の在地長。既登録 TMP-O-00273「شيخ الناحية (المنزلة ومنية بدران)」・O-00139 شيخ نابلس・O-00257 شيخ بلقس と同型の地域別職。	
	Text	فضل الرمي للقراب | فضل الرمي في سبيل الله	Faḍl al-ramy li-l-Qarrāb	TMP-T-NEW88c-01	出現: D07489（「سمع على الشهاب أحمد بن عبد العزيز بن المرحل فضل الرمي للقراب」）。著者 أبو الحسن إسحاق بن إبراهيم القراب（没429）のハディース書『فضائل الرمي في سبيل الله』。ID-Master 未登録（القراباقي N-04188 は無関係）。	
	Text	المائة لابن تيمية | المائة المنتقاة لابن تيمية	al-Miʾa li-Ibn Taymiyya	TMP-T-NEW88c-02	出現: D07514（「فقرأت عليه المائة لابن تيمية منه مع ختمه」＝صحيح البخاري からの選抜百伝）。corpus L2184「قرأت عليه ببعلبك المائة لابن تيمية」、L35520／L39935「المائة المنتقاة لابن تيمية」にも出現（repo D10060b は ref なしで bibl 記載）。既登録 T-00103「المائة العشاريات」・T-00175「المائة المستقاة من مشيخة الفخر」とは別テキスト。ID-Master 未登録。	
