	Institution	جامع صفوان (الإسكندرية)	Jāmiʿ Ṣafwān	TMP-I-00166	出現: D07448（「باشر في جامع صفوان بل يقرأ فيه البخاري」）。アレクサンドリアのモスク。D03317（شعبان بن جنيبات）「دفن بتربته المنفذة لجامع صفوان」にも出現。初版はプレースホルダ #TMP-I-00000。ID-Master 未登録	
	Institution	الزمامية | المدرسة الزمامية | الخانقاه الزمامية (مكة)	al-Zamāmiyya	TMP-I-00167	出現: D07459（「بواب الزمامية بمكة」）。マッカの学院／ハーンカー（D02583「الخانقاه الزمامية بمكة」・D00548「المدرسة الزمامية」・D00486「مشيخة الزمامية」）。既存の Office زمام(O-00074)/زمام دار(O-00075)・Institution وقف الزمام(I-00062)・Person فيروز الزمام(P-000554) とは別実体。ID-Master 未登録	
	Institution	تربة الصوفية الصغرى (القاهرة)	Turbat al-Ṣūfiyya al-Ṣughrā	TMP-I-00168	出現: D07463（埋葬地「دفن خلف تربة الصوفية الصغرى」）。カイロの廟。既存 تربة سعيد السعداء(I-00037) と同型で Institution 登録。ID-Master 未登録。初版は #NEEDID	
	Institution	مدرسة ابن شعبة بفارسكور	Madrasat Ibn Shuʿba bi-Fāraskūr	TMP-I-00169	出現: D07477（「ابتنى فيها مدرسة بقرب بيته وقرر الشهاب البيجوري مدرسها」）。البدر محمد بن شعبة الفارسكوري（#AIND-D07477）がファーラスクール（TMP-L-00243）の自宅近くに建てたマドラサ。corpus D01178「يتردد أياما من الأسبوع لفارسكور للتدريس بمدرسة ابتناها البدر بن شعبة」にも出現。ID-Master 未登録。	
	Institution	ديوان السبع (بدمشق)	Dīwān al-Sabʿ	TMP-I-00170	出現: D07530（「باشر نظر ديوان السبع ثم تركه」、イブン・ハジャル『إنباء الغمر』からの引用）。ダマスカスのウマイヤ・モスクのクルアーン七分誦ワクフ「السبع الكبير」の管財局とみられるが原文に所在の明記なし。cf. TMP-O-00256（شيخ السبع）。ID-Master 未登録。	
	Institution	جامع البدري | الجامع البدري	Jāmiʿ al-Badrī	TMP-I-00171	出現: D07564（「وخطب بجامع البدري بدمياط」）。ドゥムヤート（ダミエッタ、gn:358048）のモスク。corpus では D03817「لمداومة قراءته له بالجامع البدري」・D10071「ويؤم بالجامع البدري」（いずれもドゥムヤート）にも出現。ID-Master 未登録（Nisbah البدري=TMP-N-00174・Person البدري=AIND-D10718 とは別）。初版 #NEEDID を解消。	
	Institution	تربة الأمشاطي (بالقرب من الروضة خارج باب النصر)	Turbat al-Amshāṭī	TMP-I-00172	出現: D07623（埋葬地「دفن بتربتهم بالقرب من الروضة خارج باب النصر」＝アムシャーティー家の墓所）。corpus D05762「ودفن بتربة الأمشاطي」に同じ。カイロ北部墓地（باب النصر 外）。⚠既登録 حوش الظاهر ظاهر باب النصر(TMP-L-00149)・مصلى باب النصر(TMP-L-00163) とは別実体。ID-Master 未登録。	
	Institution	مقام الشافعي	Maqām al-Shāfiʿī	TMP-I-00173	出現: D07642（埋葬地「دفن بالقرب من مقام الشافعي」）。カイロ・カラーファ(wd:Q2066414)のイマーム・シャーフィイー廟。既登録 職 إمام مقام الشافعي(TMP-O-00164、D02792) の対象施設。ID-Master 未登録。	
	Institution	التربة الظاهرية برقوق | تربة الظاهر برقوق	al-Turba al-Ẓāhiriyya Barqūq	TMP-I-00174	出現: D07644（勤務先「الفراش بالتربة الظاهرية برقوق」）。カイロ北部墓地のバルクーク廟（ハーンカー）。地名としての廟域は TMP-L-00149(حوش الظاهر ظاهر باب النصر)。repo D02478 は同施設に未登録の wd:Q56284343 を用いており要照合（ISSUES §Df-5）。⚠البرقوقية(TMP-I-00029、بين القصرين のマドラサ) とは別実体。ID-Master 未登録。	
	Institution	ديوان المماليك	Dīwān al-Mamālīk	TMP-I-00175	出現: D07647（「وباسمه مباشرة في ديوان المماليك」）。マムルーク登録庁。既登録 職 كاتب المماليك(TMP-O-00028) の所属機関。D04264「ممن باشر في ديوان المماليك」にも出現。ID-Master 未登録。	
