	Person	أحمد بن المحب أبي الحسين الشيرازي الأصل المدني (ابن المحب)	Aḥmad b. al-Muḥibb Abī al-Ḥusayn al-Shīrāzī al-Madanī	TMP-P-NEW93-01	出現: D04694（父）。見出し「عبد المعطي بن أحمد بن المحب أبي الحسين الشيرازي الأصل المدني … ويعرف بابن المحب」から1段ずらして復元（統一規則3）。兄弟項 #AIND-D06811「محمد بن أحمد بن المحب بن الحسين علم الدين الشيرازي الاصل المدني أخو عبد المعطي الماضي」の父でもある（統合時に同番号を充てること）。corpus に本伝なし・ID-Master 未登録。マディーナの ابن المحب 家（カイロの ابن المحب 家 D06888 等、ダマスカスの السعدي ابن المحب 家とは別）。	
	Person	نور الدين علي بن الزين عمر العمري القاهري المرخم	Nūr al-Dīn ʿAlī b. al-Zayn ʿUmar al-ʿUmarī al-Qāhirī al-Murakhkhim	TMP-P-NEW93-02	出現: D04697（父）。見出し「عبد المعطي المدعو عبيد بن نور الدين علي بن الزين العمري القاهري المرخم」から復元。祖父名 عمر は corpus のクンヤ索引転送見出し（$$$「عبيد بن علي بن عمر المرخم . في عبد المعطي」）による。corpus に本伝なし・ID-Master 未登録。corpus の別家 ابن المرخم（#AIND-D05535 علي بن محمد بن قاسم／#AIND-D08161／#AIND-D07610 محمد بن عبد الرحمن）とは父名が異なる。	
	Person	محمد بن أحمد بن الطواب	Muḥammad b. Aḥmad b. al-Ṭawwāb	TMP-P-NEW93-03	出現: D04704（父）。見出し「عبد المغيث بن محمد بن أحمد بن الطواب」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。ابن الطواب 家（ニスバ索引 #AIND-D12486、同族 #AIND-D06483 محمد بن إبراهيم بن أحمد ابن الطواب、孫 #AIND-D07892）。⚠汎用名（名＋父名のみで識別要素が家名のみ）。同名別人への流用禁止。	
	Person	محمود بن علي المليجي	Maḥmūd b. ʿAlī al-Malījī	TMP-P-NEW93-04	出現: D04719（父）。見出し「عبد المنعم بن محمود بن علي المليجي ثم القاهري」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	جلال الدين محمد المحلي (الخطيب بجامع الطريني بالمحلة)	Jalāl al-Dīn Muḥammad al-Maḥallī	TMP-P-NEW93-05	出現: D04728（父）。「عبد الناصر بن جلال الدين محمد المحلي الخطيب أبوه بجامع الطريني بها」。マハッラのジャーミウ・アッ＝トゥリーニーの説教師。corpus に本伝なし・ID-Master 未登録。⚠汎用名（ラカブ＋名のみ。職で識別）。同名別人への流用禁止。	
	Person	محمد بن عمر البسطامي	Muḥammad b. ʿUmar al-Bisṭāmī	TMP-P-NEW93-06	出現: D04735（父）。見出し「عبد الهادي بن محمد بن عمر البسطامي」から1段ずらして復元（統一規則3）。corpus に本伝なし・ID-Master 未登録。⚠汎用名（名＋父名のみで識別要素がニスバのみ）。同名別人への流用禁止。	
	Person	أحمد بن محمد بن عبد الرحمن (والد عبد المجيب الكريدي)	Aḥmad b. Muḥammad b. ʿAbd al-Raḥmān	TMP-P-NEW93-07	出現: D04683（父）。見出し「عبد المجيب بن أحمد بن محمد بن عبد الرحمن … ويعرف بالكريدي」から1段ずらして復元（統一規則3）。タンターの المقام الأحمدي 関係者の家（妻の父が TMP-P-NEW93-08）。corpus に本伝なし・ID-Master 未登録。⚠汎用名。同名別人への流用禁止。	
	Person	عبد المجيب (أحد خدام سيدي أحمد البدوي)	ʿAbd al-Mujīb (khādim Sīdī Aḥmad al-Badawī)	TMP-P-NEW93-08	出現: D04683（母方の祖父「سبط عبد المجيب أحد خدام سيدي أحمد البدوي」）。#AIND-D04275（عبد الكريم بن علي بن محمد بن علي بن أحمد بن عبد المجيد خليفة المقام الأحمدي بطنتدا「ويقال إن جده عبد المجيب أحد خدام سيدي أحمد」）にも祖として言及＝同一人物（統合時に D04275 側にも充当可）。corpus に本伝なし・ID-Master 未登録。	
	Person	ابنة يوسف القروي (زوج عبد المؤمن بن عبد الدائم السمنودي)	bint Yūsuf al-Qarawī	TMP-P-NEW93-09	出現: D04722（配偶者「وترك ذرية من ابنة يوسف القروي」）。名は不明、父名で識別（規則12）。يوسف القروي は corpus に本伝なし。ID-Master 未登録。	
	Text	مؤنس العشاق	Muʾnis al-ʿUshshāq	TMP-T-NEW93-01	出現: D04687（「صاحب قصة يوسف المسماة مؤنس العشاق بالتركي」）。詩人 عبد المجيد によるトルコ語のユースフ物語。ابن عرب شاه（#AIND-D01367）の評。ID-Master 未登録・corpus に他の言及なし。	
