AIND-ID	型	意味	作業可否	該当箇所	前後文脈	作業者への指示
AIND-D00050	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$352468336744$# $$$	ن بعد ذا %~% أيضا دخول الوقت وهو التاسع %~% ###$352468336744$# $$$ إبراهيم بن أحمد بن وفاء . في ابن أحمد بن محم	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00056	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$871945470082$# $$$	ه أنه مات تقريبا بمالقة سنة اثنتين وخمسين . ###$871945470082$# $$$ إبراهيم بن أحمد البيجوري . في ابن أحمد بن عل	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00112	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	واحد ولا زال يدأب في تحصيل العلوم ويديب بصافي±±± فكره النظر في منطوقها والمفهوم مع ما أوتيه م	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00117	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$560623255847$# $$$	لسكينة لا يخلو عن فضيلة في النحو . مات في . ###$560623255847$# $$$ إبراهيم بن خليل الكردي . هو الذي قبله .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00142	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ي ناظر جيشها وابن ناظره ويعرف قديما بابن فليب±±± استقر بعد أبيه ويقال انه فاق عليه كرما وحسنا	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00149	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	يهم ما سلبوه من ملكهم وأمدهم بماله عند فاقتهم±±± وكان يصرح بأنه أزال دولة وأقام أخرى ثم أعاد	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00152	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ه بعده وكان شابا حسن الشكالة جوادا كريما دريا±±± سيوسا مع تيه وإسراف وزهو . وقد أثنى عليه شيخ	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00166	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	ه لأهله ببلاده ولم يترك عنده إلا ما يكون وفاء±±± لدينه حتى لا يدع شيئا تغتصبه الدولة ومع ذلك	無視してよい。記号を取り除いた語がそのまま正しい読み。
AIND-D00174	DOLLAR3_STUB	処理済みの転送見出し（$$$）が同じブロックに同居	◎	###$862046912930$# $$$	نى على صلاحه كما سيأتي في ترجمته . مات في . ###$862046912930$# $$$ إبراهيم بن علبك . في ابن أحمد بن غنائم .	処理済みなので作業不要。ブロック先頭の項だけ作業すればよい。
AIND-D00196	PLUSMIN	語末に付く注記マーカー（語を分断しない）	◎	±±±	دة سنة إحدى وتسعين ففجع الناس لذلك فجعة عظيمة±±± وحصل عليه من نحيبهم وبكأنهم ما لا يعبر عنه ف	無視してよい。記号を取り除いた語がそのまま正しい読み。
