# ★を含み作業を止める項（167件）— バッチ切り出し時にこの一覧を除外すれば作業者は★に出会いません
# 生成: precheck_corpus_anomalies.py 相当 / 対象 0__DawForAIND_renumbered_B54.txt / 2026-08-31
AIND-ID	見出し冒頭
AIND-D00207	إبراهيم بن عمر بن حسن الرباط بضم الراء بعدها
AIND-D04494	113 عبد الله بن عبد الوهاب بن أبي البركات بن
AIND-D04559	176 عبد الله بن الخواجا الجمال محمد بن أحمد
AIND-D04572	188 عبد الله بن محمد بن الحاج خليل بن سعيد
AIND-D04667	276 عبد الله الأشخر بمعجمتين اليماني . مات بمكة
AIND-D04670	279 عبد الله البهنسي التركماني كاشف الشرقية
AIND-D04675	284 عبد الله السحولي المكي أحد المباركين
AIND-D04676	285 عبد الله الطائفي العلائي . مات في جمادى
AIND-D04681	290 عبد الله الناشري اليمني نزيل مكة . مات بها
AIND-D04807	415 عبدون بن عبد الوهاب بن أحمد الزين الطهويهي
AIND-D04814	422 عبيد الله بن يوسف التبريزي نزيل القاهرة ممن
AIND-D04818	426 عبيد بن عبد الله بن محمد بن يونس بن حامد
AIND-D04824	432 عبيد الدمياطي زوج البرلسية أحد المدولبين
AIND-D04886	491 عثمان الحداد ممن أخذ القراءات عن صدقة
AIND-D04889	494 عثمان المغربي نزيل القاهرة صحب الظاهر جقمق
AIND-D04900	505 عرفات بن محمد بن خليل الزين خطيب منية حمل
AIND-D05036	638 علي بن أحمد بن محمد بن عمر بن محمد بن وجيه
AIND-D05040	641 علي بن أحمد بن محمد نور الدين
AIND-D05056	654 علي بن إدريس العلاء الرومي العلائي ثم
AIND-D05104	702 علي بن جمعة بن أبي بكر البغدادي خادم مقام
AIND-D05121	719 علي بن حسن بن محمد بن قاسم بن علي بن أحمد
AIND-D05173	769 علي بن سودون العلاء اليشبغاوي القاهري ثم
AIND-D05188	784 علي بن طاهر بن معوضة بن تاج الدين الشيخ أبو
AIND-D05347	934 ★علي بن قردم العلائي المذكور وأبوه في المائة قبلها★ .
